taxid	organism_name	accession	complete_pct	scaffold_n50_kb	n_hashes	est_distinct_kmers
181014	Alternaria ethzedia	GCF_023757985.1	96.6	864	79970	15994000
181017	Alternaria conjuncta	GCA_024043145.1	97.5	1897	81299	16259800
181017	Alternaria conjuncta	GCF_024043145.1	97.5	1897	81299	16259800
183478	Stemphylium lycopersici	GCA_003268315.2	99.2	280	80117	16023400
183478	Stemphylium lycopersici	GCA_003268335.2	97.9	189	77816	15563200
183478	Stemphylium lycopersici	GCA_001191545.2	97.7	498	79402	15880400
1836956	Colletotrichum chrysophilum	GCA_031006325.1	95.5	87	123456	24691200
1836956	Colletotrichum chrysophilum	GCA_026319245.1	94.5	269	91771	18354200
185366	Ustilago esculenta	GCA_020827535.1		1030	0	0
1868926	Cercospora cf. flagellaris	GCA_058382225.1		2900	0	0
1873960	Pseudocercospora fijiensis	GCA_000340215.1	98.3	5902	81966	16393200
1873960	Pseudocercospora fijiensis	GCF_000340215.1	98.3	5902	81960	16392000
1918533	Bipolaris sivanesaniana	GCA_055773965.2	97.1	2111	73959	14791800
192010	Fusarium mangiferae	GCA_900044065.1	99.8	2537	112163	22432600
192010	Fusarium mangiferae	GCF_900044065.1	99.8	2537	112160	22432000
195108	Fusarium falciforme	GCA_026873545.1	99.9	3876	110669	22133800
195108	Fusarium falciforme	GCA_027945505.1	98.6	664	97648	19529600
195108	Fusarium falciforme	GCA_027945515.1	98.6	595	95833	19166600
195108	Fusarium falciforme	GCF_026873545.1	97.6	3876	106175	21235000
195108	Fusarium falciforme	GCA_027945495.1	96.8	504	99555	19911000
2010991	Fusarium kuroshium	GCA_057675985.1	97.5	444	109846	21969200
2010991	Fusarium kuroshium	GCA_003698175.1	94.6	91	112486	22497200
203908	Melampsora laricis-populina	GCA_000204055.1	91.2	1146	85471	17094200
203908	Melampsora laricis-populina	GCF_000204055.1	91.2	1146	85429	17085800
205686	Ascochyta lentis	GCA_016097375.2	99.8	1825	84396	16879200
205686	Ascochyta lentis	GCA_022607105.2	99.8	1805	84222	16844400
2078593	Colletotrichum shisoi	GCA_006783085.1	98.0	15	82404	16480800
208348	Puccinia triticina	GCA_977970215.1	94.6	7341	98388	19677600
208348	Puccinia triticina	GCA_977970225.1	94.5	7236	99308	19861600
208348	Puccinia triticina	GCA_026914185.2	94.3	7475	85006	17001200
208348	Puccinia triticina	GCA_000151525.2	92.9	544	82419	16483800
208348	Puccinia triticina	GCA_026914185.1	92.0	7486	69676	13935200
208348	Puccinia triticina	GCF_026914185.1	92.0	7486	69676	13935200
208348	Puccinia triticina	GCA_026914245.1	91.7	7575	69694	13938800
2175873	Colletotrichum musicola	GCA_014235935.1	99.3	46	109295	21859000
2175906	Colletotrichum plurivorum	GCA_014235945.1	99.4	130	107858	21571600
2175907	Colletotrichum sojae	GCA_014235955.1	99.5	104	106614	21322800
221518	Phytophthora pseudosyringae	GCA_019155715.1	95.0	76	110469	22093800
226899	Leptographium clavigerum	GCF_000143105.1	94.9	1997	66123	13224600
2283408	Colletotrichum jinshuiense	GCA_051148585.1	99.4	5052	97323	19464600
2283408	Colletotrichum jinshuiense	GCF_051148585.1	99.4	5052	97320	19464000
230439	Peronospora tabacina	GCA_002099245.1		79	0	0
232082	Fusarium virguliforme	GCA_013363175.1		31	0	0
232088	Alternaria arbusti	GCA_024043155.1	97.3	1678	81657	16331400
232088	Alternaria arbusti	GCF_024043155.1	97.3	1678	81657	16331400
2364996	Fusarium austroafricanum	GCA_012932025.1	97.6	86	107424	21484800
2494466	Fusarium irregulare	GCA_027945235.1	99.8	1636	88114	17622800
2494466	Fusarium irregulare	GCA_027945245.1	98.7	1636	87102	17420400
2496075	Phytophthora aleatoria	GCA_018873745.1	99.0	25	103431	20686200
2502994	Fusarium odoratissimum	GCA_000260195.2	99.6	1130	110606	22121200
2502994	Fusarium odoratissimum	GCF_000260195.1	99.6	1130	110606	22121200
2502994	Fusarium odoratissimum	GCA_052550365.1	99.1	542	101398	20279600
2502994	Fusarium odoratissimum	GCA_000350365.1	82.2	1948	88694	17738800
252740	Cytospora chrysosperma	GCA_003795275.1	93.8	456	71982	14396400
2604345	Fusarium oligoseptatum	GCA_057675185.1	95.7	326	111778	22355600
2604345	Fusarium oligoseptatum	GCA_003946995.1	93.8	158	113556	22711200
2664923	Colletotrichum noveboracense	GCA_026319155.1	97.0	169	92930	18586000
2675880	Fusarium flagelliforme	GCA_003012295.1	98.3	113	96034	19206800
2692428	Fusarium sp. NRRL 66182	GCA_013266265.1	96.8	36	98013	19602600
2698418	Sclerotiophoma versabilis	GCA_012274445.1		1699	0	0
2698982	Fusarium akasia	GCA_057674905.1	96.0	420	104175	20835000
2698982	Fusarium akasia	GCA_057674945.1	94.1	383	101430	20286000
2698983	Fusarium awan	GCA_057674825.1	88.1	278	64615	12923000
2698983	Fusarium awan	GCA_057674865.1	87.8	282	63819	12763800
2698985	Fusarium rekanum	GCA_057675605.1	99.3	412	103698	20739600
2698985	Fusarium rekanum	GCA_057675625.1	99.2	402	103034	20606800
2698986	Fusarium variasi	GCA_057675385.1	96.2	1618	88745	17749000
2698986	Fusarium variasi	GCA_057675405.1	95.9	1575	88746	17749200
2698987	Fusarium warna	GCA_057675365.1	95.9	504	104169	20833800
272952	Hyaloperonospora arabidopsidis	GCA_000173235.2		332	0	0
27334	Penicillium expansum	GCA_022829055.1	99.3	981	82471	16494200
27335	Verticillium albo-atrum	GCA_052569915.1	97.2	112	70006	14001200
27335	Verticillium albo-atrum	GCA_052569925.1	92.2	1482	70782	14156400
27337	Verticillium dahliae	GCA_054858055.1	98.6	202	82801	16560200
27337	Verticillium dahliae	GCA_004109745.1	97.3	2900	69399	13879800
27337	Verticillium dahliae	GCA_002892995.1	96.8	82	68141	13628200
27337	Verticillium dahliae	GCA_002893045.1	96.8	79	68270	13654000
27337	Verticillium dahliae	GCA_002893025.1	96.8	64	69197	13839400
27337	Verticillium dahliae	GCA_002893035.1	96.8	48	69058	13811600
27337	Verticillium dahliae	GCA_011066485.2	92.8	1040	69283	13856600
27337	Verticillium dahliae	GCA_000150675.2	92.7	1274	73030	14606000
27337	Verticillium dahliae	GCF_000150675.1	92.7	1274	73030	14606000
27337	Verticillium dahliae	GCA_003320035.1	87.1	4825	65554	13110800
27337	Verticillium dahliae	GCA_011066465.2	82.0	506	64637	12927400
27349	Puccinia sorghi	GCA_001263375.1	86.1	19	105966	21193200
27350	Puccinia striiformis	GCA_025169535.1	95.3	4795	95407	19081400
27350	Puccinia striiformis	GCA_025169555.1	95.0	4630	98067	19613400
27350	Puccinia striiformis	GCA_001191645.1	94.8	519	98484	19696800
27350	Puccinia striiformis	GCA_021901695.1	92.2	4700	83782	16756400
27350	Puccinia striiformis	GCF_021901695.1	92.2	4700	83782	16756400
27350	Puccinia striiformis	GCA_021901655.1	91.6	4650	81525	16305000
27350	Puccinia striiformis	GCA_002920065.1	77.7	295	80551	16110200
27357	Colletotrichum acutatum	GCA_037954465.1	99.2	648	103587	20717400
27358	Colletotrichum coccodes	GCA_002249775.1		342	0	0
2747967	Fusarium solani-melongenae	GCA_023101225.1	99.5	4496	110377	22075400
278938	Botrytis elliptica	GCA_004786205.1	99.4	37	87616	17523200
278940	Botrytis galanthina	GCA_004916875.1	99.1	65	87627	17525400
278943	Botrytis hyacinthi	GCA_004786245.1	99.3	116	84898	16979600
278948	Botrytis paeoniae	GCA_004786145.1	99.1	125	83660	16732000
2817039	Alternaria sp. Ai002NY15	GCA_023758125.1	96.9	1256	78112	15622400
2817041	Alternaria sp. BMP 2799	GCA_023758145.1	95.6	1000	78411	15682200
2817042	Alternaria sp. BMP 0032	GCA_023758005.1	95.6	976	78217	15643400
282267	Fusarium asiaticum	GCA_025258505.1		9351	0	0
282268	Fusarium austroamericanum	GCA_013364965.1	98.6	109	89798	17959600
282569	Fusarium gaditjirri	GCA_013266175.1	98.4	134	100644	20128800
283354	Alternaria metachromatica	GCA_023757995.1	95.3	1012	78588	15717600
283354	Alternaria metachromatica	GCF_023757995.1	95.3	1012	78588	15717600
2838796	Colletotrichum sp. SAR 10_70	GCA_025327165.1	96.0	133	90337	18067400
2838797	Colletotrichum sp. SAR 10_71	GCA_025327135.1	95.9	118	90158	18031600
2838798	Colletotrichum sp. SAR 10_75	GCA_025327155.1	95.9	144	90319	18063800
2838800	Colletotrichum sp. SAR 10_77	GCA_025330015.1	95.3	116	89807	17961400
2838801	Colletotrichum sp. SAR 10_86	GCA_025327125.1	94.5	96	89475	17895000
2838804	Colletotrichum sp. SAR 10_99	GCA_028654355.1	96.0	99	89274	17854800
2838810	Colletotrichum sp. SAR11_239	GCA_025328985.1	96.4	146	90011	18002200
2838811	Colletotrichum sp. SAR11_240	GCA_025328625.1	95.9	134	90781	18156200
2838812	Colletotrichum sp. SAR11_57	GCA_025328355.1	96.1	98	89184	17836800
2838813	Colletotrichum sp. SAR11_59	GCA_025328345.1	94.7	81	88365	17673000
285811	Pseudopyrenochaeta lycopersici	GCA_000601435.1		87	0	0
286115	Synchytrium endobioticum	GCA_006535955.1	83.6	44	52927	10585400
2874508	Fusarium sp. FIESC RH6	GCA_022627095.1	95.7	1716	85613	17122600
2885761	Fusarium chuoi	GCA_022627125.1	88.2	1615	89190	17838000
2885761	Fusarium chuoi	GCA_022627105.1	86.4	215	89919	17983800
2898544	Fusarium sp. Ph1	GCA_025433565.1	99.8	3299	112923	22584600
2898545	Fusarium sp. LHS14.1	GCA_025433615.1	100.0	3818	114421	22884200
29001	Alternaria brassicicola	GCA_023079265.1		799	0	0
29003	Cercospora nicotianae	GCA_002994015.1		330	0	0
290576	Colletotrichum lindemuthianum	GCA_001693025.3		2180	0	0
2940390	Colletotrichum filicis	GCA_023376865.1	99.5	325	105357	21071400
2951228	Fusarium mekan	GCA_057675485.1	96.0	416	105352	21070400
2951228	Fusarium mekan	GCA_057674785.1	94.0	678	99818	19963600
2951361	Fusarium drepaniforme	GCA_057676085.1	96.1	356	103043	20608600
2951362	Fusarium papillatum	GCA_057676105.1	96.2	238	100987	20197400
2951362	Fusarium papillatum	GCA_057676005.1	95.0	293	101449	20289800
297637	Alternaria triticimaculans	GCA_023758025.1	96.8	1667	80354	16070800
297637	Alternaria triticimaculans	GCF_023758025.1	96.8	1667	80329	16065800
29856	Clonostachys rosea	GCA_902827195.2	95.6	1902	129486	25897200
29875	Trichoderma virens	GCA_000170995.2	99.3	1837	85875	17175000
29875	Trichoderma virens	GCF_000170995.1	99.3	1837	85862	17172400
29875	Trichoderma virens	GCA_020647635.1	94.7	6491	84451	16890200
29875	Trichoderma virens	GCA_020647705.1	92.3	6645	81049	16209800
29920	Phytophthora cactorum	GCA_003287315.1	100.0	56	128141	25628200
29920	Phytophthora cactorum	GCA_016865085.1	100.0	50	133754	26750800
29920	Phytophthora cactorum	GCA_016864775.1	99.0	49	128968	25793600
29920	Phytophthora cactorum	GCA_016865075.1	99.0	44	133534	26706800
29920	Phytophthora cactorum	GCA_016864695.1	99.0	43	128594	25718800
29920	Phytophthora cactorum	GCA_016864665.1	99.0	41	130335	26067000
29920	Phytophthora cactorum	GCA_016864815.1	99.0	41	128975	25795000
29920	Phytophthora cactorum	GCA_016864755.1	99.0	40	134286	26857200
29920	Phytophthora cactorum	GCA_016864835.1	99.0	40	133252	26650400
29920	Phytophthora cactorum	GCA_016864855.1	99.0	40	131051	26210200
29920	Phytophthora cactorum	GCA_016864715.1	99.0	39	134510	26902000
29920	Phytophthora cactorum	GCA_016864735.1	99.0	38	129578	25915600
29920	Phytophthora cactorum	GCA_016864635.1	99.0	37	129168	25833600
29920	Phytophthora cactorum	GCA_017309695.1	99.0	37	147936	29587200
29920	Phytophthora cactorum	GCA_016864795.1	99.0	36	134974	26994800
29920	Phytophthora cactorum	GCA_016906365.1	99.0	36	134655	26931000
29920	Phytophthora cactorum	GCA_016865055.1	99.0	34	129973	25994600
29920	Phytophthora cactorum	GCA_018873755.1	98.0	27	105993	21198600
307758	Ustilago bromivora	GCA_900080155.1	99.5	877	59520	11904000
307758	Ustilago bromivora	GCA_900519155.1	96.2	116	56924	11384800
312341	Ceratocystis harringtonii	GCA_002018265.1		66	0	0
31870	Colletotrichum graminicola	GCA_000149035.1	99.4	579	81520	16304000
31870	Colletotrichum graminicola	GCF_000149035.1	99.4	579	81518	16303600
31870	Colletotrichum graminicola	GCA_029226625.1	97.4	6444	86984	17396800
318829	Pyricularia oryzae	GCA_000002495.2	99.1	6607	81454	16290800
318829	Pyricularia oryzae	GCF_000002495.2	99.1	6607	81454	16290800
318829	Pyricularia oryzae	GCA_025135345.1	99.1	124	83303	16660600
318829	Pyricularia oryzae	GCA_024703655.1	99.0	120	81748	16349600
318829	Pyricularia oryzae	GCA_025134795.1	99.0	115	82911	16582200
318829	Pyricularia oryzae	GCA_024704225.1	99.0	101	81926	16385200
318829	Pyricularia oryzae	GCA_055697915.1	98.9	6221	80994	16198800
318829	Pyricularia oryzae	GCA_055689605.1	98.9	6219	80602	16120400
318829	Pyricularia oryzae	GCA_024704165.1	98.9	127	81524	16304800
318829	Pyricularia oryzae	GCA_024704035.1	98.9	121	81787	16357400
318829	Pyricularia oryzae	GCA_024704055.1	98.9	117	82112	16422400
318829	Pyricularia oryzae	GCA_024704195.1	98.9	114	82086	16417200
318829	Pyricularia oryzae	GCA_024703665.1	98.9	109	81858	16371600
318829	Pyricularia oryzae	GCA_049355375.1	98.8	6274	80883	16176600
318829	Pyricularia oryzae	GCA_055689535.1	98.8	6260	80975	16195000
318829	Pyricularia oryzae	GCA_055774735.1	98.8	6258	81518	16303600
318829	Pyricularia oryzae	GCA_055697975.1	98.8	6213	80789	16157800
318829	Pyricularia oryzae	GCA_055689495.1	98.8	6194	81086	16217200
318829	Pyricularia oryzae	GCA_049355325.1	98.8	6163	80703	16140600
318829	Pyricularia oryzae	GCA_055689595.1	98.8	6158	80840	16168000
318829	Pyricularia oryzae	GCA_049355395.1	98.8	6150	81013	16202600
318829	Pyricularia oryzae	GCA_055689515.1	98.8	6137	80770	16154000
318829	Pyricularia oryzae	GCA_049355335.1	98.8	6044	80688	16137600
318829	Pyricularia oryzae	GCA_024704115.1	98.8	121	81623	16324600
318829	Pyricularia oryzae	GCA_024704255.1	98.8	108	81593	16318600
318829	Pyricularia oryzae	GCA_024703685.1	98.8	98	81760	16352000
318829	Pyricularia oryzae	GCA_024703975.1	98.8	92	82268	16453600
318829	Pyricularia oryzae	GCA_024704145.1	98.8	72	82285	16457000
318829	Pyricularia oryzae	GCA_055697935.1	98.7	6274	80861	16172200
318829	Pyricularia oryzae	GCA_055697855.1	98.7	6265	80995	16199000
318829	Pyricularia oryzae	GCA_049355415.1	98.7	6250	80823	16164600
318829	Pyricularia oryzae	GCA_055689635.1	98.7	6235	80810	16162000
318829	Pyricularia oryzae	GCA_055689575.1	98.7	6192	80787	16157400
318829	Pyricularia oryzae	GCA_055689555.1	98.7	6167	80721	16144200
318829	Pyricularia oryzae	GCA_049355315.1	98.7	6144	80734	16146800
318829	Pyricularia oryzae	GCA_055697955.1	98.7	6086	80907	16181400
318829	Pyricularia oryzae	GCA_055697985.1	98.7	6008	81201	16240200
318829	Pyricularia oryzae	GCA_024704275.1	98.7	115	81634	16326800
318829	Pyricularia oryzae	GCA_055697835.1	98.6	6291	80980	16196000
318829	Pyricularia oryzae	GCA_049355405.1	98.6	6233	80921	16184200
318829	Pyricularia oryzae	GCA_055697875.1	98.6	6124	80754	16150800
318829	Pyricularia oryzae	GCA_055697895.1	98.5	6152	80411	16082200
318829	Pyricularia oryzae	GCA_004346965.1	97.4	6129	84826	16965200
318829	Pyricularia oryzae	GCA_000292585.1	97.3	107	83763	16752600
318829	Pyricularia oryzae	GCA_024704235.1	97.0	104	80845	16169000
321146	Pseudocercospora eumusae	GCA_001578235.1	90.9	112	79699	15939800
3239297	Colletotrichum sp. CLE4	GCA_044063575.1	97.8	507	82568	16513600
325452	Phytophthora kernoviae	GCA_001707905.2	96.0	64	67049	13409800
325452	Phytophthora kernoviae	GCA_001712705.2	96.0	64	69343	13868600
325452	Phytophthora kernoviae	GCA_000785725.3	96.0	57	67017	13403400
325452	Phytophthora kernoviae	GCA_001712645.2	96.0	33	69217	13843400
325452	Phytophthora kernoviae	GCA_001712715.2	95.0	64	66998	13399600
325452	Phytophthora kernoviae	GCA_000785735.3	94.0	63	67016	13403200
33205	Fusarium torulosum	GCA_900312805.1	99.4	93	95978	19195600
3387622	Fusarium sp. IMII-1	GCA_056098845.1	99.1	10146	90484	18096800
34373	Blumeria graminis	GCA_905067625.1	96.6	15158	46499	9299800
34373	Blumeria graminis	GCA_000418435.1	86.0	760	42221	8444200
34373	Blumeria graminis	GCA_900519115.1	85.2	15587	43786	8757200
343994	Colletotrichum cereale	GCA_030867335.1	99.1	77	97123	19424600
34406	Colletotrichum destructivum	GCA_034447905.1	99.7	5290	104454	20890800
34406	Colletotrichum destructivum	GCF_034447905.1	99.7	5290	104452	20890400
34407	Colletotrichum kahawae	GCA_032988895.1	99.1	199	120447	24089400
3469074	[Neocosmospora] sp. B6999-1	GCA_057674245.1	96.6	656	106472	21294400
3469074	[Neocosmospora] sp. B6999-1	GCA_057674335.1	96.6	504	107201	21440200
3469074	[Neocosmospora] sp. B6999-1	GCA_057674285.1	96.3	532	105024	21004800
3469074	[Neocosmospora] sp. B6999-1	GCA_057674425.1	96.1	642	103515	20703000
3469074	[Neocosmospora] sp. B6999-1	GCA_057674405.1	96.1	145	103755	20751000
3469074	[Neocosmospora] sp. B6999-1	GCA_057674295.1	96.0	704	104232	20846400
3469074	[Neocosmospora] sp. B6999-1	GCA_057674185.1	95.8	701	104536	20907200
3469075	[Neocosmospora] sp. B6999-2	GCA_057674085.1	91.5	710	79560	15912000
3469075	[Neocosmospora] sp. B6999-2	GCA_057674165.1	90.6	368	77467	15493400
3469076	[Neocosmospora] sp. B6999-3	GCA_057674105.1	98.0	1570	101064	20212800
3469077	[Neocosmospora] sp. B6999-4	GCA_057673945.1	97.8	398	112956	22591200
3469077	[Neocosmospora] sp. B6999-4	GCA_057674065.1	97.7	758	113206	22641200
3469077	[Neocosmospora] sp. B6999-4	GCA_057673905.1	97.5	758	112991	22598200
3469077	[Neocosmospora] sp. B6999-4	GCA_057673865.1	97.4	803	113456	22691200
3469077	[Neocosmospora] sp. B6999-4	GCA_057673975.1	97.1	891	112506	22501200
3469077	[Neocosmospora] sp. B6999-4	GCA_057673805.1	96.3	755	111610	22322000
3469077	[Neocosmospora] sp. B6999-4	GCA_057673925.1	96.2	651	108566	21713200
3469078	[Neocosmospora] sp. B6999-5	GCA_057673785.1	97.5	555	109828	21965600
35717	Epichloe festucae	GCA_003814445.1	88.7	6202	53945	10789000
357750	Cercospora berteroae	GCA_002933655.1	98.6	105	86205	17241000
36050	Fusarium poae	GCA_001675295.1	99.8	8784	93947	18789400
36050	Fusarium poae	GCA_046056315.1	99.5	8641	93023	18604600
36050	Fusarium poae	GCA_019609905.1	99.4	9990	91932	18386400
36050	Fusarium poae	GCF_019609905.1	99.4	9990	91921	18384200
36651	Penicillium digitatum	GCA_016767815.1	99.2	4124	62853	12570600
36651	Penicillium digitatum	GCF_016767815.1	99.2	4124	62853	12570600
36651	Penicillium digitatum	GCA_000315645.2	97.2	1534	59979	11995800
36651	Penicillium digitatum	GCF_000315645.1	97.2	1534	59920	11984000
36651	Penicillium digitatum	GCA_000315665.1	97.2	879	60684	12136800
36651	Penicillium digitatum	GCA_012295545.2	95.4	6602	62522	12504400
38448	Monilinia fructicola	GCA_055672675.1		2191	0	0
39703	Septoria lycopersici	GCA_059642765.1		2646	0	0
40125	Bipolaris victoriae	GCA_000527765.1	98.4	231	81073	16214600
40125	Bipolaris victoriae	GCF_000527765.1	98.4	231	81073	16214600
40199	Fusarium avenaceum	GCA_000769215.1	99.0	1437	100490	20098000
40199	Fusarium avenaceum	GCA_018282135.1	98.7	1473	90703	18140600
40199	Fusarium avenaceum	GCA_012959155.1	98.2	2237	99635	19927000
40296	Penicillium italicum	GCA_002116305.1		317	0	0
403063	Pyricularia sp. CBS 133598	GCA_004337975.1	98.7	3202	84115	16823000
40380	Aspergillus ochraceus	GCA_026108165.1		1169	0	0
40559	Botrytis cinerea	GCA_000143535.4	99.8	2617	85618	17123600
40559	Botrytis cinerea	GCF_000143535.2	99.8	2617	85615	17123000
40559	Botrytis cinerea	GCA_053455415.1	98.9	126	85566	17113200
40559	Botrytis cinerea	GCA_052570975.1	98.3	203	83063	16612600
40559	Botrytis cinerea	GCA_052571025.1	98.2	211	82722	16544400
40559	Botrytis cinerea	GCA_052570965.1	98.0	284	82389	16477800
40559	Botrytis cinerea	GCA_000349525.1	97.8	194	82020	16404000
40559	Botrytis cinerea	GCA_052569665.1	97.7	448	82061	16412200
40559	Botrytis cinerea	GCA_052569675.1	97.6	286	82226	16445200
40559	Botrytis cinerea	GCA_052570955.1	97.5	324	81102	16220400
40559	Botrytis cinerea	GCA_052571015.1	97.2	194	81306	16261200
40559	Botrytis cinerea	GCA_000227075.1	90.5	562	84438	16887600
40993	Aspergillus carbonarius	GCA_001990825.1	94.2	1828	74200	14840000
42672	Fusarium napiforme	GCA_013396005.1	97.0	78	101946	20389200
42673	Fusarium nygamai	GCA_002894225.1	98.9	382	106983	21396600
42676	Fusarium sacchari	GCA_055255615.1		187	0	0
42747	Fusarium heterosporum	GCA_013396295.1	97.9	176	85928	17185600
430562	Alternaria novae-zelandiae	GCA_023758075.1	96.3	1243	78693	15738600
430562	Alternaria novae-zelandiae	GCF_023758075.1	96.3	1243	78693	15738600
44412	Fusarium beomiforme	GCA_002980475.2	97.9	77	106883	21376600
45130	Bipolaris sorokiniana	GCA_000338995.1	99.1	1789	79537	15907400
45130	Bipolaris sorokiniana	GCF_000338995.1	99.1	1789	79533	15906600
45130	Bipolaris sorokiniana	GCA_013416765.1	84.0	1586	72120	14424000
45133	Lasiodiplodia theobromae	GCA_008931885.1	98.4	249	90481	18096200
45133	Lasiodiplodia theobromae	GCA_002111425.1	97.9	4775	91953	18390600
45151	Pyrenophora tritici-repentis	GCA_022813065.1	99.2	2531	84696	16939200
45151	Pyrenophora tritici-repentis	GCA_022813025.1	99.0	3178	86022	17204400
45151	Pyrenophora tritici-repentis	GCA_003231425.2	98.7	1684	83969	16793800
45151	Pyrenophora tritici-repentis	GCA_022578395.1	97.2	55	78883	15776600
45151	Pyrenophora tritici-repentis	GCA_022544805.1	97.0	63	79466	15893200
45151	Pyrenophora tritici-repentis	GCA_022578365.1	96.8	53	78567	15713400
45151	Pyrenophora tritici-repentis	GCA_022544795.1	96.7	53	79163	15832600
45151	Pyrenophora tritici-repentis	GCA_000149985.1	95.3	1986	78042	15608400
45151	Pyrenophora tritici-repentis	GCF_000149985.1	95.3	1986	78042	15608400
45151	Pyrenophora tritici-repentis	GCA_003231355.1	94.9	74	76951	15390200
45151	Pyrenophora tritici-repentis	GCA_003231365.1	94.9	65	77297	15459400
45151	Pyrenophora tritici-repentis	GCA_003231345.1	94.6	67	77161	15432200
45151	Pyrenophora tritici-repentis	GCA_003171545.1	91.3	59	75701	15140200
45151	Pyrenophora tritici-repentis	GCA_022788405.1	91.3	49	76341	15268200
45151	Pyrenophora tritici-repentis	GCA_022788515.1	91.3	47	76330	15266000
45151	Pyrenophora tritici-repentis	GCA_022788415.1	91.2	49	75854	15170800
45151	Pyrenophora tritici-repentis	GCA_022788435.1	91.1	49	75924	15184800
45151	Pyrenophora tritici-repentis	GCA_022788445.1	91.0	45	76222	15244400
45151	Pyrenophora tritici-repentis	GCA_022837075.1	90.8	1795	78355	15671000
45151	Pyrenophora tritici-repentis	GCA_022788505.1	90.8	48	76475	15295000
45151	Pyrenophora tritici-repentis	GCA_022788425.1	90.7	49	76592	15318400
45151	Pyrenophora tritici-repentis	GCA_003231415.2	90.6	3134	76316	15263200
45151	Pyrenophora tritici-repentis	GCF_003171515.1	90.4	3658	78814	15762800
45151	Pyrenophora tritici-repentis	GCA_003231325.2	90.2	2687	76679	15335800
45303	Alternaria infectoria	GCA_024043175.1	95.9	1573	78698	15739600
45303	Alternaria infectoria	GCF_024043175.1	95.9	1573	78698	15739600
456999	Rhizoctonia solani	GCA_026686785.1	95.2	2140	76695	15339000
456999	Rhizoctonia solani	GCA_015341985.1	91.9	1350	80008	16001600
456999	Rhizoctonia solani	GCA_015342435.1	91.3	1240	81543	16308600
456999	Rhizoctonia solani	GCA_000832345.2	91.3	330	84058	16811600
456999	Rhizoctonia solani	GCA_000524645.1	91.1	7444	85270	17054000
456999	Rhizoctonia solani	GCA_015342415.1	91.1	1218	80656	16131200
456999	Rhizoctonia solani	GCA_905219595.1	90.3	29	83593	16718600
456999	Rhizoctonia solani	GCA_016906535.1	86.6	2303	88082	17616400
456999	Rhizoctonia solani	GCF_016906535.1	86.6	2303	88082	17616400
456999	Rhizoctonia solani	GCA_001286725.1	86.6	81	88077	17615400
456999	Rhizoctonia solani	GCA_905219625.1	86.4	53	70226	14045200
456999	Rhizoctonia solani	GCA_905219655.1	86.4	26	76325	15265000
456999	Rhizoctonia solani	GCA_905219565.1	85.5	18	65208	13041600
456999	Rhizoctonia solani	GCA_905219635.1	84.4	19	63658	12731600
456999	Rhizoctonia solani	GCA_905219575.1	83.5	11	73597	14719400
456999	Rhizoctonia solani	GCA_905219585.1	83.1	101	71084	14216800
456999	Rhizoctonia solani	GCA_905219615.1	81.9	196	66209	13241800
456999	Rhizoctonia solani	GCA_905219605.1	81.6	8	65686	13137200
456999	Rhizoctonia solani	GCA_905219645.1	78.7	35	56858	11371600
456999	Rhizoctonia solani	GCA_905219545.1	77.0	69	53879	10775800
456999	Rhizoctonia solani	GCA_905232135.1	77.0	13	69417	13883400
456999	Rhizoctonia solani	GCA_049245135.1	76.4	2529	54273	10854600
456999	Rhizoctonia solani	GCA_015342405.1	74.5	1561	79452	15890400
456999	Rhizoctonia solani	GCA_000334115.1	65.8	474	62396	12479200
456999	Rhizoctonia solani	GCA_000695385.1	51.1	161	63149	12629800
474922	Colletotrichum gloeosporioides	GCA_021432615.1	99.3	2304	119151	23830200
474922	Colletotrichum gloeosporioides	GCA_011800055.1	98.8	710	114623	22924600
474922	Colletotrichum gloeosporioides	GCF_011800055.1	98.8	710	114622	22924400
4779	Bremia lactucae	GCF_004359215.1	95.0	5324	57599	11519800
47803	Fusarium phyllophilum	GCA_013396025.1	98.0	87	104684	20936800
4784	Phytophthora capsici	GCA_016618375.1	99.0	486	120933	24186600
4785	Phytophthora cinnamomi	GCA_018691715.1	100.0	1188	105552	21110400
4785	Phytophthora cinnamomi	GCF_018691715.1	100.0	1188	105537	21107400
4787	Phytophthora infestans	GCA_000142945.1	99.0	1589	99876	19975200
4787	Phytophthora infestans	GCF_000142945.1	99.0	1589	99874	19974800
4787	Phytophthora infestans	GCA_026225685.1	97.0	13451	103667	20733400
4787	Phytophthora infestans	GCA_012552325.1	96.0	155	113289	22657800
4792	Phytophthora nicotianae	GCA_001483015.1	99.0	24	106834	21366800
4792	Phytophthora nicotianae	GCA_000509465.1	99.0	16	123749	24749800
4792	Phytophthora nicotianae	GCA_000509505.1	99.0	16	123373	24674600
4792	Phytophthora nicotianae	GCA_000509525.1	99.0	16	123488	24697600
4792	Phytophthora nicotianae	GCA_000509485.1	99.0	15	122984	24596800
4792	Phytophthora nicotianae	GCA_000247585.2	98.0	888	129771	25954200
4792	Phytophthora nicotianae	GCF_000247585.1	98.0	888	129771	25954200
4792	Phytophthora nicotianae	GCA_001482985.1	90.0	31	61202	12240400
4793	Phytophthora citrophthora	GCA_031305395.1	91.0	909	108468	21693600
4795	Phytophthora megakarya	GCA_002215365.1	91.0	7	150143	30028600
4796	Phytophthora palmivora	GCA_002911725.1	77.0	7	101576	20315200
