BioProject	n_runs	title	description	pmids	publications	primaries	secondaries
PRJNA1272045	1	Ralstonia pseudosolanacearum LOV domain protein regulates environmental stress tolerance, iron homeostasis and bacterial wilt virulence	Bacteria use diverse sensors to integrate environmental stimuli into physiological responses that ensure fitness and survival. Ralstonia pseudosolanacearum (Rps), a soil-borne plant pathogen that causes bacterial wilt disease, encodes a conserved LOV (light-oxygen-voltage) protein known to mediate photoreception across the tree of life. However, Rps had a minimal LOV-dependent transcriptional response to light. Using clues from functional domains, the lov genomic neighborhood, and in planta transcriptional analyses, we tested the hypothesis that LOV shapes Rps biology in response to stress. We discovered lov modulates Rps stress response and virulence independently of light cues, but in a plant-dependent fashion. A ∆lov mutant had reduced heat tolerance that required a conserved flavin mononucleotide-binding cysteine residue. Deleting lov caused broad metabolic dysregulation, leading to growth defects on several carbon sources. In contrast ∆lov grew better in ex vivo tomato xylem sap and in high-iron medium, a possible consequence of its increased siderophore production. However, LOV is essential for full virulence in the host, mediating attachment to the root surface, stem colonization, and overall symptom development. Together these findings reveal that LOV, which is highly conserved among plant pathogenic Ralstonia, regulates a myriad of functions required for plant fitness independently of light. Overall design: RNAseq data of Ralstonia pseudosolanacearum strain GMI1000 wild-type compared to ∆lov both in vitro and in planta conditions. In vitro cells were subjected to blue light and dark conditions.	41358747	[41358747] RprR is a plant-responsive regulator of exopolysaccharide production, biofilm formation, and virulence in	Ralstonia pseudosolanacearum	Pseudomonas fluorescens (0.3%)
PRJNA283526	1	RNA-Seq analyse the virulence mechanism of rice pathogen Acidovorax avenae subsp. avenae strain RS-1 following ß-lactam antibiotics exposure	This study investigated the transcriptomic response of rice pathogen Acidovorax avenae subsp. avenae (Aaa) strain RS-1 to ß-lactam antibiotics in particular Ampicillin (Amp) and the result highlights the importance of Amp-induced differentially expressed genes in the virulence of Aaa strain RS-1. Overall design: 1 sample (Aaa strain under Amp (+) condition) with 2 biogical replicates; our previous RNA-Seq squencing result of Aaa strain under Amp (-) condition [GSM1220690 and GSM1220691 in GSE50522] was used as the control.	26915352	[26915352] New insights into virulence mechanisms of rice pathogen Acidovorax avenae subsp. avenae strain RS-1 following exposure to ß-lactam antibiotics.	Paracidovorax avenae	Magnaporthe oryzae (6.5%)
PRJNA1063333	1	Ceratocystis fimbriata modulates effectors during infection for both pre- and post-epidemic isolates	Our goal was to deepen the understanding of the pathogen Ceratocystis fimbriata's biology, which is essential for developing effective resistance strategies in sweetpotatoes. We utilized a recent comprehensive assembly of the sweetpotato C. fimbriata isolate AS236 to identify potential secreted effectors, employing a custom fungal effector annotation pipeline. This process led to the identification of 188 putative effectors.</p><p>We then conducted extensive RNA sequencing to examine how C. fimbriata adjusts its effector expression within the plant, aiming to identify a subset of effectors active during infection. Our analysis included comparing expression profiles of C. fimbriata isolates from both pre- and post-epidemic periods, revealing distinct patterns of effector co-expression.</p><p>Our findings were pivotal in suggesting 31 effectors for further functional analysis, based on their differential expression patterns. Among these, we discovered several effectors indicative of a biotrophic phase in C. fimbriata's infection of sweetpotato storage roots. This discovery is particularly significant as it provides new insights into the pathogen's infection mechanisms.</p><p>The comprehensive catalog of effector proteins we developed is a valuable resource for understanding C. fimbriata's infection strategies. More importantly, it lays the groundwork for effector-assisted breeding in sweetpotato, which could be instrumental in developing resistant crop varieties, potentially mitigating future outbreaks and crop losses..			Ceratocystis fimbriata	Sweet potato virus G (0.4%)
PRJNA670487	1	Global transcriptome of the fungal pathogen Sclerotinia sclerotiorum (strain 1980) during the colonization of six plant species - Global transcriptome of S. sclerotiorum and S. trifoliorum during growth on camalexin	The host range of parasites is an important factor in assessing the dynamics of disease epidemics. The evolution of pathogens to accommodate new hosts may lead to host range expansion, a process the molecular bases of which are largely enigmatic. The fungus Sclerotinia sclerotiorum parasitizes more than 400 plant species from diverse eudicot families while its close relative, S. trifoliorum, is restricted to plants from the Fabaceae family. We analyzed S. sclerotiorum global transcriptome reprogramming on hosts from six botanical families and reveal a flexible, host-specific transcriptional program driven by core and host-response co-expression (SPREx) gene clusters. We generated a chromosome-level genome assembly for S. trifoliorum and found near-complete gene space conservation in broad and narrow host range Sclerotinia species. However, S. trifoliorum showed increased sensitivity to the Brassicaceae defense compound camalexin. Inter-specific transcriptome analyses revealed a lack of transcriptional response to camalexin in S. trifoliorum and provide evidence that cis-regulatory variation associates with the genetic accommodation of Brassicaceae in the Sclerotinia host range. Our work demonstrates adaptive plasticity of a broad host range pathogen with specific responses to different host plants and demonstrates the co-existence of signatures for generalist and polyspecialist life styles in the genome of a plant pathogen. We reason that this mechanism enables the emergence of new disease with no or limited gene flow between strains and species, and could underlie the emergence of new epidemics originating from wild plants in agricultural settings. Overall design: Periphery and center of S. sclerotiorum disease lesions on A. thaliana (Ath), S. lycopersicum (Sly), H. annuus (Han), B. vulgaris (Bvu), R. communis (Rco), P. vulgaris (Pvu) Periphery and center of colony growth on Potato Dextrose Agar plates and in Potato Dextrose Broth serves as control samples collected in three independent replicates	34282282	[34282282] Transcriptional response to host chemical cues underpins the expansion of host range in a fungal plant pathogen lineage.	Sclerotinia sclerotiorum 1980 UF-70	Botrytis cinerea (0.1%)
PRJEB13072	1	Transcriptome-based comparison of the infection response in maize silks between Fusarium graminearum and Ustilago maydis	In this study, RNA-seq based comparative transcriptome analysis was used to study the response between Fusarium graminearum and Ustilago maydis to different growth conditions. RNA-seq libraries were generated from fungal filaments growing in culture (complete medium) and from infected maize silk. This data set contains the data for the Fusarium graminearum and Ustilago maydis medium growth condition.			Fusarium graminearum	Ustilago maydis (6.3%)
PRJNA777477	1	Banana plant infected with viruses Genome sequencing and assembly	In this study, the infection status of 92 Musa samples was screened using HTS technology individually or as sample pools, and only one sample resulted in false negative caused by the heterogeneous distribution of Banana mild mosaic virus (BanMMV) inside of the sample. To evaluate the analytical sensitivity between HTS and RT-PCR, the same Total RNA extractions from eight sample pools with five tested banana viruses were used. . Compared with currently available database, large number of tested banana virus genomes and one formerly unknown member which belonging to family Closteroviridae was also generated in this study. Moreover, a new algorithm calls Cont-ID, which uses alien control to identify cross-sample contamination, was first time reported.			Cucumber mosaic virus	Banana bract mosaic virus (1.1%)
PRJNA1234858	1	Tomato ringspot virus in Phlox stolonifera	First report of tomato ringspot virus in Phlox stolonifera in the Netherlands			Tomato ringspot virus	Nepovirus lycopersici (59.1%)
PRJNA588304	1	RNA-Seq of BYMV	Safer seed certification project			Bean yellow mosaic virus	Stemphylium lycopersici (0.6%)
PRJNA1331714	1	Whole Genome Sequencing of a Tomato Brown Rugose Fruit Virus (ToBRFV) isolate from Central Anatolia, Turkiye	Tomato brown rugose fruit virus (ToBRFV), a member of the Tobamovirus genus, is an emerging pathogen that poses a significant threat to tomato (Solanum lycopersicum) production worldwide. Its rapid spread and severe economic impact necessitate continuous genomic surveillance to monitor its evolution and geographic distribution. This project presents the raw whole-genome sequencing data of a ToBRFV isolate, which was collected from a symptomatic tomato plant in the Central Anatolia region of Turkiye. The primary objective is to determine the complete genome of this Turkish isolate and perform a comparative analysis with other ToBRFV sequences available in public databases.			Tomato brown rugose fruit virus	Tobamovirus fructirugosum (42.4%)
PRJNA491634	1	Sequencing of historic viral samples	Sequenece data of RNA extracted from freeze dried leaf material containing plant viruses. The samples are old historic plant virus isolates original described and stored up to 40 years ago.			Arracacha virus B	Andean potato mild mosaic virus (0.1%)
PRJNA606340	1	Carrot virus Y Genome sequencing and assembly	This project involves survey of incidence and diversity of viral and bacterial diseases of vegetable crops in Australia. One of the major aims of this project is to characterize through high throughput sequencing (HTS) the genomes of virus and bacterial isolates associated with vegetable diseases.			Carrot virus Y	Pseudomonas fluorescens NZ011 (0.1%)
PRJNA895362	1	Citrus leprosis virus C2 Genome sequencing	Citrus leprosis (CiL) is one of the destructive emerging viral diseases of citrus in the Americas. Leprosis syndrome is associated with two taxonomically distinct groups of Brevipalpus transmitted viruses (BTVs), that consist of positive-sense Cilevirus, Higrevirus, and negative-sense Dichorhavirus. The localized CiL symptoms observed in multiple citrus species and other alternate hosts indicates that these viruses might have originated from the mites and eventually adopted citrus as a secondary host. Genetic diversity in the genomes of viruses associated with the CiL disease complex have complicated current detection and diagnostic measures that prompted the application of High-Throughput Sequencing (HTS) protocols for improved detection and diagnosis. Two cileviruses are known to infect citrus, and among them only citrus leprosis virus C2 (CiLV-C2) hibiscus strain (CiLV-C2H) has been reported in hibiscus and passionfruit in the US. Based on our current CiL disease complex hypothesis, there is a high probability that CiL disease is associated with more viruses/strains that have not yet been identified but exist in nature. To protect the citrus industry, a Ribo-Zero HTS protocol was utilized for detection of cileviruses infecting three different hosts: Citrus spp., Swinglea glutinosa, and Hibiscus rosa-sinensis. Real-time RT-PCR assays were used to identify plants infected with CiLV-C2 or CiLV-C2H or both in mixed infection in all the above-mentioned plant genera. These results were further confirmed by bioinformatic analysis using HTS generated data. In this study, we utilized HTS assay in confirmatory diagnostics to screen BTVs infecting Dieffenbachia sp. (family: Araceae), Passiflora edulis (Passifloraceae), and Smilax auriculata (Smilacaceae). Through the implementation of HTS and downstream data analysis, we detected not only the known cileviruses in the studied hosts but also discovered a new strain of CiLV-C2 in hibiscus from Colombia. The new hibiscus strain is more closely phylogenetically related to CiLV-C2 than the known hibiscus strain, CiLV-C2H. We propose this strain to be named as CiLV-C2 hibiscus strain 2 (CiLV-C2H2). The findings from the study are critical for citrus growers, industry, regulators, and researchers. The possible movement of CiLV-C2H2 from hibiscus to citrus by the same vector warrants further investigation.			Citrus leprosis virus C2	Colletotrichum fructicola (0.1%)
PRJNA1054045	1	Plant metagenomics tomato viruses, Next Strain	Plant metagenomics tomato viruses, Sequences of tomato brown rugose fruit virus obtained to add to NextStrain.			Tomato brown rugose fruit virus	Rehmannia mosaic virus (0.1%)
PRJNA1089140	1	Historic Tymoviruses	Range of historic and more recent Tymoviruses from Fera and collections held at Julius Kuhn Institute and Warwick university			Turnip yellow mosaic virus	Brassica rapa virus 1 (0.1%)
PRJNA996293	1	Interspecific hybrid of leek, garlic, and great-headed garlic infected with leek yellow stripe virus	The goal is to characterize the hybrid nature of this Allium crop and also examine the genomic feature of leek yellow stripe virus found in this hybrid crop.			Leek yellow stripe virus	Garlic latent virus (0.4%)
