BioProject	llm_treatment	llm_study_setting	llm_named_pathogen	llm_named_host	llm_tissue	llm_kw_treatment_agree	llm_kw_setting_agree	llm_confidence	llm_rationale
PRJNA373356	single	lab	Setosphaeria turcica	Zea mays		true	true	high	The study explicitly involves inoculating Zea mays with a single pathogen, Setosphaeria turcica, indicating a single treatment in a lab setting. The classifier output aligns well with these observations, reinforcing high confidence in the classification.
PRJNA587128	single	field	Erwinia amylovora	Malus domestica	flowers	true	false	medium	While the study focuses on a single pathogen, the keyword classifier indicates a lab setting, which conflicts with the field context described in the BioProject. The research emphasizes field conditions, thus justification for the field setting despite confusion in keywords.
PRJEB9304	single	unclear	Meloidogyne graminicola	Oryza sativa		true	false	medium	The treatment is classified as 'single' due to the presence of a single named pathogen and host. The study setting is 'unclear' because there is no information provided regarding the collection method or conditions.
PRJNA171217	single	field	Colletotrichum acutatum	Cucumis sativus		true	true	high	The study focuses on the sequencing of a single pathogen (Colletotrichum acutatum) affecting cucumber, categorizing it as a single treatment. Additionally, the samples were collected in a field setting, consistent with the described study context.
PRJNA764088	single	lab	Globodera pallida	Solanum tuberosum	not applicable	true	true	high	The study focuses on sequencing a specific strain of the potato cyst nematode, indicating a single-pathogen context, and the methods suggest a controlled laboratory setting. The treatment and study setting classifications align with the keyword classifier output.
PRJNA373186	single	field	Setosphaeria turcica	Zea mays		true	true	high	The study explicitly mentions a single pathogen (Setosphaeria turcica) being evaluated in the context of gene expression profiling in a host (Zea mays), which aligns with the keyword classifications of treatment and study setting.
PRJNA408471	single	field	Cochliobolus sativus	Brachypodium distachyon		true	true	high	The study focuses on the infection of Brachypodium distachyon by a single declared pathogen, Cochliobolus sativus, and was conducted in a field setting, aligning well with the keyword classifier output.
PRJNA749614	single	field	Puccinia striiformis f. sp. tritici	Triticum aestivum		true	true	high	The study is focused on a single pathogen, Puccinia striiformis f. sp. tritici, affecting the named host Triticum aestivum in a field setting based on the collected data and descriptions. The treatment and study setting keywords align with the context provided in the BioProject summary.
PRJNA1289099	single	field	Puccinia striiformis f.sp. tritici	Triticum aestivum		true	true	high	The analysis focuses on wheat stripe rust fungus, which is a single declared pathogen affecting the specified host. The study setting is explicitly field-based, corroborating key information from both the BioProject description and keyword classifier output.
PRJNA408462	single	lab	Cochliobolus sativus ND4008	Brachypodium distachyon		true	false	medium	The study involves a single declared pathogen and is conducted under laboratory conditions (inoculation), consistent with a single treatment classification. However, the keyword classifier output indicates a field setting, which contradicts the lab-related context inferred from the experimental description.
PRJNA373350	single	lab	Setosphaeria turcica	Zea mays		true	true	high	The study explicitly examines the gene expression response of the host Zea mays to a single pathogen, Setosphaeria turcica, in a controlled lab setting. There is clear alignment with the keyword classifier outputs indicating a single treatment and a lab study setting.
PRJNA408461	single	field	Cochliobolus sativus ND4008	Brachypodium distachyon		true	true	high	The treatment is classified as 'single' due to the focus on a single pathogen (Cochliobolus sativus ND4008) inoculated into the host Brachypodium distachyon. The study setting is 'field' as it involves a gene expression profiling experiment with a natural host involved in a controlled context.
PRJNA373355	single	lab	Setosphaeria turcica	Zea mays		true	true	high	The study explicitly focuses on the response of a single host (Zea mays) to a single pathogen (Setosphaeria turcica) in a controlled lab setting, consistent with the keyword classifier output.
PRJNA373352	single	lab	Setosphaeria turcica NY001	Zea mays		true	true	high	The study explicitly involves the infection of Zea mays with a single pathogen, Setosphaeria turcica, in a controlled lab setting. This aligns well with the keywords provided and indicates a clear single-pathogen inoculation context.
PRJNA904717	single	lab	Blumeria graminis f. sp. tritici	Triticum aestivum		true	true	high	The study explicitly involves a single pathogen, Blumeria graminis f. sp. tritici, infecting a single host, Triticum aestivum, in a controlled lab setting. The keyword classifier output confirms this treatment and study setting.
PRJNA877037	single	lab		Solanum lycopersicum		true	true	high	The BioProject clearly indicates a single-pathogen study in a controlled lab setting, aligning with the keyword classifier output. There are no indications of co-infection or multiple pathogen involvement in the provided information.
PRJNA441159	single	lab	Zymoseptoria tritici	bioenergy crops	first leave segment	true	true	high	The treatment is classified as 'single' since the study focuses on a single declared pathogen, Zymoseptoria tritici, and does not indicate any co-infection. The study setting is 'lab' as the work involves inoculated plant tissues under controlled conditions.
PRJNA329579	single	field	Plasmopara viticola	Vitis vinifera		true	true	high	The study clearly focuses on the sequencing of the pathogen Plasmopara viticola in the context of grapevine (Vitis vinifera), which aligns with the keyword outputs indicating a single-pathogen investigation in a field setting.
PRJNA202292	single	unclear	Pyrenochaeta lycopersici	Solanum lycopersicum	infected tomato roots	true	false	medium	The study focuses on a single pathogen (Pyrenochaeta lycopersici) associated with a specific host (Solanum lycopersicum) indicating a single treatment. However, the study setting is unclear as there is insufficient information to determine whether the context is field or lab-based.
PRJNA373346	single	lab	Setosphaeria turcica	Zea mays		true	true	high	The study is focused on the response of Zea mays to a single pathogen, Setosphaeria turcica, in a controlled laboratory setting, which aligns with the keyword classifier output.
PRJNA234029	single	lab	Plasmopara viticola			true	true	high	The study involves transcriptome sequencing from inoculated plant material, indicating a single-pathogen inoculation context. The controlled lab setting further supports this classification.
PRJNA804666	single	lab	Rhynchosporium commune	Hordeum vulgare	leaves	true	true	high	The study explicitly focuses on the infection of barley (Hordeum vulgare) with a single pathogen, Rhynchosporium commune, in a controlled laboratory setting, which aligns with the keyword classifier output.
PRJNA1394492	single	field	Puccinia triticina	Triticum aestivum		true	true	high	The treatment was classified as 'single' due to the co-infection flag indicating a single-pathogen study, and the study setting was classified as 'field' as it involves field-collected samples from Australia.
PRJNA929181	single	field	Fusarium oxysporum			true	true	high	The treatment is classified as single based on the co_infection_flag indicating a single-pathogen experiment, and the study setting is field as per the classification that indicates it involves field-collected samples in India.
PRJNA979975	single	field	Fusarium oxysporum	Musa acuminata		true	true	high	The study focuses on Fusarium oxysporum, a single pathogen affecting the host Musa acuminata, as indicated by the keyword classifier output. The study setting is consistent with field-collected samples from Indonesia.
PRJNA372583	single	lab	Setosphaeria turcica	Zea mays		true	true	high	The study clearly focuses on the host response to a single declared pathogen (Setosphaeria turcica) in a controlled lab setting, matching the keyword classifier output. No indication of additional pathogens or co-infection is present.
PRJNA1085399	single	field	Verticillium dahliae	Gossypium hirsutum		true	true	high	The study clearly targets a single pathogen (Verticillium dahliae) affecting a host (Gossypium hirsutum) and was conducted in a natural field setting, aligning with the classifier output.
PRJNA552379	single	field		Gallus gallus	intestine	true	true	high	The treatment is classified as 'single' based on the co-infection flag and keyword classifier output. The study setting as 'field' is consistent with the identified location in the USA and the nature of the study involving layer intestine samples.
PRJNA731618	host_study	field	Ralstonia solanacearum	Capsicum annuum	hypocotyls	false	true	medium	The study is focused on the interaction between Ralstonia solanacearum and pepper, indicating it's primarily a host study rather than an intentional single-pathogen experiment or a co-infection experiment. However, the presence of co-infection flags in the BioSample summary introduces uncertainty regarding the treatment classification.
PRJNA441174	single	lab	Zymoseptoria tritici	not specified	first leave segment	true	true	high	The study involves a single identified pathogen (Zymoseptoria tritici) and is conducted under controlled lab conditions, specifically analyzing the gene expression in plant tissues inoculated with this fungus.
PRJNA304618	single	lab	'Candidatus' Liberibacter asiaticus	Citrus sinensis		true	true	high	The study involves single-pathogen inoculations of 'Candidatus' Liberibacter asiaticus and Citrus tristeza virus into Citrus sinensis under greenhouse conditions, confirming both treatment and study setting classifications.
PRJNA441160	single	lab	Zymoseptoria tritici	unknown	first leave segment	true	true	high	The study focuses on gene expression profiling related to a single declared pathogen, Zymoseptoria tritici, indicating a single-pathogen inoculation experiment. The controlled conditions suggest a lab setting.
PRJNA1479505	single	lab	Phytophthora sojae, Phytophthora sansomeana	Glycine max		true	true	high	The study explicitly involves a controlled lab setting with a focus on the response to two declared pathogens, which aligns with the single treatment classification. The named pathogens and host are clearly stated in the study description.
PRJNA307612	single	field	Cytospora chrysosperma			true	true	high	The study is confirmed as a single-pathogen experiment based on the co_infection_flag indicating a single organism and the classification as field setting. The named pathogen is specifically identified in the title and abstract.
PRJNA408529	single	field	Cochliobolus sativus ND4008	Brachypodium distachyon		true	true	high	The study focuses on the interaction between a single pathogen, Cochliobolus sativus ND4008, and the host Brachypodium distachyon in a field setting. The classification aligns with the identified treatment and study setting from the keyword classifier output.
PRJNA713956	single	lab	Colletotrichum scovillei	Capsicum annuum		true	true	high	The study clearly focuses on the infection of chili pepper by a single pathogen, Colletotrichum scovillei, in a controlled lab setting. This aligns with the keyword classifier output indicating a single treatment and lab study setting.
PRJNA441156	single	lab	Zymoseptoria tritici		first leave segment	true	true	high	The study explicitly documents a single-pathogen experiment with 'Zymoseptoria tritici' and was conducted in a controlled lab setting. This aligns well with the keyword classifier output.
PRJNA372581	single	lab	Setosphaeria turcica NY001	Zea mays		true	true	high	The study focuses on gene expression profiling in a resistant Zea mays line inoculated with a specific pathogen, indicating a controlled single-pathogen laboratory study. The keyword classifier aligns with the treatment and study setting categories identified.
PRJNA373364	single	lab	Setosphaeria turcica	Zea mays		true	true	high	The study focuses on the gene expression profiling of a single pathogen on a resistant line of maize under controlled lab conditions, confirming a single treatment classification. The lab setting is corroborated by the description of inoculation and controlled conditions.
PRJNA279922	single	field	Synchytrium endobioticum	Solanum tuberosum	infected potato tissue	true	true	high	The study focuses on a single pathogen, Synchytrium endobioticum, and its effects on the host species Solanum tuberosum. The context is identified as field-based due to the study's emphasis on understanding natural infections in potatoes.
PRJNA373357	single	lab	Setosphaeria turcica	Zea mays		true	true	high	The study clearly indicates a single-pathogen inoculation of Zea mays with Setosphaeria turcica in a lab setting. The classification aligns with the keyword outputs and the study's defined parameters.
PRJNA595343	single	lab	Fusarium avenaceum	Avena fatua	caryopsis, fungal tissue	true	true	high	The study specifically assesses the gene expression of a single pathogen (Fusarium avenaceum) in response to its interaction with a single host (Avena fatua) under controlled lab conditions. This aligns with the keyword classifier output for treatment and study setting.
PRJNA318835	single	field	Penicillium italicum	Citrus sinensis		true	true	high	The classification as 'single' is supported by the co-infection flag indicating only one pathogen is present (Penicillium italicum), and the 'field' setting is confirmed by the study being based on samples collected from natural environments in China.
PRJNA294234	single	field	Phakopsora pachyrhizi	Glycine max		true	true	high	The study focuses on a single pathogen, Phakopsora pachyrhizi, affecting the Glycine max (soybean) and indicates field conditions in Brazil. The keyword classifier output aligns well with the study's description and objectives.
PRJNA373351	single	lab	Setosphaeria turcica	Zea mays		true	true	high	The study explicitly focuses on gene expression profiling after inoculation with a single pathogen, indicating a single treatment type in a controlled lab setting. The keyword classifier output confirms the treatment as single and setting as lab.
PRJNA373347	single	lab	Setosphaeria turcica	Zea mays		true	true	high	The study clearly focuses on a single pathogen, Setosphaeria turcica, inoculated in a controlled lab setting involving a resistant line of Zea mays. There are no indications of co-infection or field conditions.
PRJNA250530	single	lab	Exserohilum turcicum			true	true	high	The study focuses on a single pathogen, Exserohilum turcicum, and is conducted in a controlled lab setting. The keyword classifier outputs confirm this classification.
PRJNA408458	single	field	Cochliobolus sativus ND4008	Brachypodium distachyon		true	true	high	The study focuses on the gene expression profiling of a single pathogen, Cochliobolus sativus, in a field context with the host plant Brachypodium distachyon, supporting the classification of a single-pathogen treatment in a field setting.
PRJNA372570	single	lab	Setosphaeria turcica	Zea mays		true	true	high	The study clearly focuses on the response of Zea mays to a single identified pathogen (Setosphaeria turcica), conducted within a controlled lab setting. The keyword classifier output aligns with these findings.
PRJEB6937	single	unclear	Peronospora tabacina	Nicotiana tabacum		true	false	medium	The study focuses on a single declared pathogen, Peronospora tabacina, indicating a single-pathogen treatment. However, the study setting is unclear as there are no details provided about where or how the samples were collected or treated.
PRJNA381081	single	field	Heterodera glycines	Glycine max	Whole nematodes	true	true	high	The study is focused on the soybean cyst nematode (Heterodera glycines) and its impact on soybean (Glycine max), indicating a single-pathogen context. The bio-sample details and keywords confirm that the samples were collected from a field setting.
PRJNA1031678	single	lab	Fusarium asiaticum, Fusarium graminearum	Triticum aestivum		true	true	high	The study involves the inoculation of two specific pathogens on a designated host in a controlled lab setting, indicating a single-pathogen treatment focus. The keyword classifier output aligns with this experimental design.
PRJNA910335	single	field	Rhynchosporium commune	Hordeum vulgare		true	true	high	The classification of 'single' treatment aligns with the reported co-infection flag and is supported by the keyword classifier. The study setting is deemed 'field' due to the inclusion of field-collected samples and geographic location provided.
PRJNA373187	single	field	Setosphaeria turcica	Zea may B73		true	true	high	The study is focused on the gene expression profiling of a specific pathogen (Setosphaeria turcica) in a defined host (Zea may B73), classifying it as a single pathogen treatment in a field setting, consistent with the keyword classifier output.
PRJNA1422174	single	field	Fusarium oxysporum f. sp. albedinis	Phoenix dactylifera		true	true	high	The study focuses on the single pathogen Fusarium oxysporum f. sp. albedinis impacting the date palm host, indicating a single treatment situation. The geographic information suggests a field setting, aligning with the description of natural infection processes in the host.
PRJNA556551	single	field	Potato mop-top virus	Solanum tuberosum		true	true	high	The classification indicates a single treatment with a focus on a known pathogen, Potato mop-top virus, in a field setting. The BioSample summary confirms a single co-infection flag, reinforcing the interpretation.
PRJNA597539	single	field	Cotton Leafroll Dwarf Virus	Gossypium hirsutum	Leaf	true	true	high	The treatment is classified as 'single' because the study focuses on a single pathogen (CLRDV) affecting a specific host (Gossypium hirsutum) without indicated co-infections. The study setting is 'field' as it involves samples collected from a natural farming environment in Texas.
PRJNA575278	single	field	Barley virus G	Hordeum vulgare	Leaf	true	true	high	The study's focus on Barley virus G and the classification as a single treatment match the keyword classifier output indicating a single-pathogen context. The field setting aligns with the bio-sample information about geographic location and sampling method.
PRJNA1011022	single	field				true	true	high	The treatment is classified as 'single' based on the co-infection flag indicating no multi-pathogen presence, and the study setting is 'field' since the geo location is specified as the United Kingdom, indicating field-collected samples.
PRJNA576432	single	field				true	true	high	The classification indicates a treatment of 'single,' aligning with the co_infection_flag indicating a single-pathogen context. The study setting is 'field,' consistent with the geo_loc_name value indicating natural conditions in Poland.
PRJNA951524	single	field	nerine virus X	nerine, agapanthus		true	true	high	The study is focused on a single pathogen, nerine virus X, and involves field-collected samples from natural settings, consistent with the treatment and study setting classifications.
PRJNA802726	surveillance	field		Lathyrus oleraceus		false	false	medium	The study focuses on public RNA-seq data indicating field surveys with no intentional pathogen inoculation, which aligns with the surveillance classification. However, limited data prevents definitive assignment of treatment and study settings.
PRJNA1043184	surveillance	field		Zea mays		false	true	high	The study focuses on the metatranscriptome of diseased maize samples from the field in East Africa, suggesting a surveillance context rather than intentional pathogen inoculation. The keyword classifier output indicated a single treatment, but the context aligns better with a field study collecting natural infections.
PRJNA1183799	surveillance	field		Oxalis tuberosa		false	true	high	The study involves plant metagenomics of Oxalis tuberosa purchased from e-commerce websites, suggesting a field survey context. The classifier output indicates 'single' treatment which appears inconsistent with the intention in the context of a co-infection study.
PRJDB18332	single	unclear	Tulip mild mottle mosaic virus			true	false	medium	The treatment is classified as single since the study focuses on a single pathogen, Tulip mild mottle mosaic virus. However, the study setting is unclear due to a lack of information regarding whether samples were collected from the field or grown in a controlled environment.
PRJNA1475403	single	field	Tomato brown rugose fruit virus	Solanum lycopersicum		true	true	high	The treatment classification is 'single' as it indicates a response to a single declared pathogen. The study setting is classified as 'field' because it is derived from samples collected from nature (sheep manure in Jordan).
PRJNA808246	single	field				true	true	high	The treatment is classified as single based on the co-infection flag indicating only single infections. The study setting is field as the samples are collected from natural infections in Australia.
PRJNA1043087	surveillance	field	maize chlorotic mottle virus, sugarcane mosaic virus	Zea mays		false	true	high	The study assesses the diversity of viruses associated with maize lethal necrosis disease in a field context, suggesting it is a surveillance study rather than a controlled co-infection experiment. The context of field surveys is supported by the description and location of the samples.
PRJNA1081807	single	field				true	true	high	The treatment is classified as 'single' since the study includes only single-pathogen RNA-seq data, and the study setting is 'field' based on the collection from field samples in the United Kingdom.
PRJEB75479	single	unclear	Avocado sunblotch viroid, Citrus exocortis viroid	Citrus sinensis		true	false	medium	The study focuses on single-pathogen investigation of viroids, hence classified as single treatment. However, the study setting is unclear due to lack of explicit information regarding whether samples were collected in the field or in a lab.
PRJNA607790	single	field	Pea early browning virus	Phaseolus vulgaris	Leaf	true	true	high	The study explicitly focuses on the Pea early browning virus as the primary pathogen, and the classification output confirms it as a single treatment in a field setting. The tissue type, named host, and treatment classification are all consistent with the provided data.
PRJNA796936	surveillance	field	High Plains wheat mosaic virus	Triticum aestivum	leaf	false	true	medium	The study focuses on the analysis of wheat samples in natural conditions, indicating a field survey context. While it involves the evaluation of a specific pathogen, it does not involve an intentional co-infection experiment, aligning more with surveillance rather than a co-infection experiment.
PRJNA503094	single	field				true	true	high	The treatment is classified as 'single' based on the co-infection flag indicating a single infecting organism, while the study setting is classified as 'field' due to the location being specified as Kenya and the nature of transcriptome data analysis.
PRJNA542720	single	field			Leaf	true	true	high	The classification as 'single' treatment aligns well with the co-infection flag indicating single-pathogen investigation and the field study context. The absence of a declared pathogen and host species supports the classification as it focuses on a single declared pathogen scenario.
PRJNA816480	single	field	Citrus dwarfing viroid	Citrus sinensis	stems, roots	true	true	high	The study focuses on the effects of a single pathogen (Citrus dwarfing viroid) on the sweet orange host (Citrus sinensis), as indicated in the title and description. The study setting is field-based as it involves naturally infected plants.
PRJNA861798	single	field	tomato necrotic ringspot orthotospovirus	Capsicum annuum		true	true	high	The project focuses on characterizing a specific pathogen infecting the named host in a field setting, indicated by the treatment classification as 'single' and the field study setting. The identified pathogen aligns with the focus of the study.
PRJEB9490	single	lab	Turnip mosaic virus		leaf	true	true	high	The study focuses on the Turnip mosaic virus and involved controlled laboratory experiments with plants, indicating a single-pathogen treatment and a lab study setting. The clear description of the virus and its sequencing suggests a thorough investigation of this specific pathogen.
PRJNA911975	single	field				true	true	high	The project aims to study viral infections in mungbean, categorized as a single treatment. It involves field-collected samples, confirming the field study setting. No specific pathogen or host is directly mentioned in the provided data.
PRJNA491634	single	field				true	true	high	The study focuses on historic plant virus isolates, indicating a single-pathogen context, and the data is collected from field-collected leaf samples. This aligns with the provided keyword classification.
PRJNA1158682	single	field				true	true	high	The treatment is classified as 'single' based on the co_infection_flag indicating a single pathogen. The study setting is 'field' as it involves samples collected in the Netherlands, aligning with field-collected methodologies.
PRJNA1170257	single	field		Glycine max		true	true	high	The classification indicates a single treatment and field setting, which aligns with the keyword classifier output and the study context of a plant metagenomics survey of Glycine max. There is no declared pathogen, and the study appears to focus on field-collected samples.
PRJNA910466	single	field	virus species associated with sweetpotato virus disease	Ipomoea batatas		true	true	high	The treatment classification as 'single' aligns with the study's focus on identifying single virus infections in sweetpotato. The study setting is designated as 'field' since the samples are collected from sweetpotato in Thailand, indicating a natural infection context.
PRJNA1124355	single	field		Zea mays	Leaf	true	true	high	The study involves RNA-seq of a maize leaf sample from a natural setting, indicating it is a field study addressing a single-pathogen context. The keyword classifier output aligns with this classification.
PRJNA524397	single	field	turnip yellows virus	Lathyrus oleraceus		true	true	high	The study explicitly identifies the presence of a single pathogen (turnip yellows virus) in the context of field-collected samples from the specified host. The classification aligns well with the provided keywords and description, indicating a strong confidence in the treatment and setting classification.
PRJNA1394657	single	field	Lettuce necrotic yellows virus	Lactuca sativa	Leaf	true	true	high	The project involves a single pathogen associated with a specific host in a field setting, as indicated by the keyword classifier output and the description of the study. The data aligns well with the classification criteria for treatment and study setting.
PRJNA388142	single	field	Rice stripe virus	Oryza sativa		true	true	high	The study explicitly focuses on the interaction between Rice stripe virus and its host, Oryza sativa, indicating a single-pathogen context. The study setting is identified as field-based with samples collected from natural environments, consistent with the classification.
PRJNA1237933	single	field				true	true	high	The classification of 'single' treatment aligns with the co-infection flag indicating a single pathogen, and 'field' setting corresponds with the field-collected samples noted in the bio sample summary.
PRJNA525575	single	field	Iris severe mosaic virus	Iris tectorum		true	true	high	The study focuses on a single pathogen (Iris severe mosaic virus) affecting a specific host (Iris tectorum) in a natural field setting, confirming the classifications of 'single' for treatment and 'field' for study setting.
PRJNA487146	single	field	Henbane mosaic virus	Solanum lycopersicum		true	true	high	The classification indicates a single treatment with a declared pathogen, Henbane mosaic virus, and the study setting is clearly field-based as indicated by the description and location in Slovenia.
PRJDB10741	single	field	tulip streak virus	Tulipa gesneriana		true	false	medium	The study focuses on determining the genome sequence of a single virus affecting a specific host (Tulipa gesneriana) showing symptoms in a field setting. However, the keyword classifier indicates an unclear study setting, which affects the overall confidence.
PRJNA1290658	single	field				true	true	high	The study involves assessing viral infections in plants, categorized as a field study with single-pathogen assessment based on the provided keyword classifier output. There are no named pathogens or specific tissues mentioned, but the context supports the classification as a single-pathogen experiment.
PRJNA802714	single	field	beet ringspot virus	Solanum tuberosum		true	true	high	The provided data indicates a single-pathogen focus on beet ringspot virus with samples collected in a field setting, aligning with the keyword classifier's output. There are no indications of co-infection or additional treatments.
PRJNA271201	single	field	Rice stripe virus	Oryza sativa		true	true	high	The study focuses on Rice stripe virus populations in Oryza sativa and was conducted in a field setting, as indicated by the use of field-collected samples and natural hosts. The keyword classifier's outputs align with these observations.
PRJNA287818	single	field	Potato virus Y	Solanum tuberosum		true	true	high	The study focuses on the population structure of a single PVY N strain infecting Solanum tuberosum in a field setting. The treatment is classified as 'single' and the study setting is 'field' based on the details provided.
PRJNA530979	single	field	tomato chlorotic spot virus	Arachis hypogaea		true	true	high	The study is focused on a single pathogen (TCSV) infecting peanut in a field setting, confirmed by the co-infection flag indicating single infection and the field location of the samples.
PRJNA1174433	single	field				true	true	high	The study is classified as 'single' treatment based on the co-infection flag indicating a single infecting organism. The study setting is classified as 'field' due to the description of samples collected from natural conditions in the USA.
PRJNA524449	single	field	Carrot torradovirus 1	Angelica keiskei		true	true	high	The classification indicates a single treatment and field study setting, both of which are supported by the provided information. Since the study isolates a specific pathogen from a natural host and does not indicate any co-infection or multi-pathogen context, it aligns with a single-pathogen experiment.
PRJNA996293	single	field	leek yellow stripe virus	leek, garlic, great-headed garlic	bulbs, leaves	true	true	high	The study explicitly focuses on the infection of the hybrid Allium crops with a declared pathogen, leek yellow stripe virus, indicating a single-pathogen study. The samples were collected from fields, supporting the classification as field study setting.
PRJNA1220327	single	lab	Turnip mosaic virus	Arabidopsis thaliana		true	true	high	The study involves a controlled laboratory setting with a focus on a single pathogen (Turnip mosaic virus) affecting a named host (Arabidopsis thaliana). Both the treatment and study setting classifications align with the provided keywords.
PRJDB16961	single	unclear	bean common mosaic virus	Phaseolus vulgaris		true	false	medium	The treatment is classified as single based on the co-infection flag indicating a single pathogen. However, the study setting remains unclear due to insufficient information on the experimental conditions.
PRJNA605966	single	field				true	true	high	The classification indicates a single treatment with no declared named host or pathogen. The study setting is confirmed as field due to the collection of samples from UK rose plants without controlled laboratory conditions.
PRJNA1055939	surveillance	field		Arabidopsis thaliana	Leaf	false	true	high	The study involves field-collected RNA samples from Arabidopsis thaliana accessions without a declared pathogen, supporting classification as a field survey. The keyword classifier indicates a single treatment, but the presence of co-infection in the BioSample summary and the study design suggests surveillance rather than a single-pathogen focus.
PRJNA976033	abiotic_stress	field		Helianthus annuus	leaf	true	true	high	The study focuses on the effects of drought stress on sunflower (Helianthus annuus) in a field setting, with no evidence or mention of pathogens, aligning with the classification of abiotic stress. The keywords generated from the classifier are consistent with these findings.
PRJNA707596	host_study	lab	P. nicotianae	Nicotiana tabacum	infected roots	false	true	medium	The study involves differential gene expression in response to a single pathogen, but it does not align with the keyword 'single' since it investigates interactions with different tobacco genotypes. The setting is confirmed as lab due to the nature of the RNA-seq experiments conducted on isolates.
PRJNA1108966	host_study	lab	Phytophthora cinnamomi	Castanea sativa, Castanea crenata	Root	true	true	high	The study examines the transcriptomic response of chestnut species to a specific pathogen under controlled lab conditions, consistent with the classification as a host study. The keyword classifier's identification as a host study aligns with the treatment context.
PRJNA646284	host_study	field		Zea mays	leaf sheath, stalk	true	true	high	The study focuses on the effects of glyphosate on maize without any mention of pathogen inoculation, categorizing it as a host study. It is conducted in a field setting, aligning with the classifier's output.
PRJNA1217477	surveillance	field	Botrytis cinerea	eudicot species	Leaf	false	true	high	The study examines a co-transcriptome from multiple eudicot species naturally infected with varying isolates of Botrytis cinerea, aligning with the field study designation. The classification indicates multiple species present without a single declared pathogen treatment, hence the choice of surveillance.
PRJNA1264741	host_study	field		Nicotiana tabacum	flower, leaf, root	true	true	high	The study focuses on transcriptomic profiling across various tissues and developmental stages of Nicotiana tabacum, indicating a host study without deliberate pathogen involvement. The output from the keyword classifier aligns with this interpretation and confirms field settings based on the presence of wild samples.
PRJNA997093	single	field	Phytophthora infestans	Solanaceae	leaves	true	true	medium	The study specifically describes analyzing the host response to a single declared pathogen, Phytophthora infestans, in field conditions. However, the presence of multi-species and multi-kingdom co-infection flags indicates potential complexities in the data interpretation.
PRJNA589748	surveillance	field		Solanum tuberosum	Leaf	false	true	high	The study is a survey of smallholder potato fields for the presence of known and novel viruses, indicating a field survey setting without intentional pathogen inoculation. The co-infection flag indicates multi-species presence, reinforcing the classification as a surveillance context rather than a single-pathogen study.
PRJNA1499897	host_study	lab	Phytophthora nicotianae	Nicotiana tabacum	Leaf base	true	true	high	The study focuses on the interaction between the tobacco plant and the declared pathogen Phytophthora nicotianae, evaluating host resistance in a controlled lab setting. The treatment classification aligns with the emphasis on host-pathogen dynamics rather than co-infection, as the primary goal is understanding host responses.
PRJDB19723	coinf_experiment	lab	Magnaporthe oryzae	Oryza sativa	leaf	false	true	high	The study investigates rice blast resistance in various growth phases, indicating multiple infections occur due to the presence of 'multi_species' in the BioSample summary. The study is performed in a controlled lab setting with inoculation of the pathogen.
PRJNA899438	single	lab	Sclerotinia sclerotiorum	Arabidopsis thaliana	leaf	true	true	high	The study focuses on a single pathogen, Sclerotinia sclerotiorum, and involves controlled laboratory conditions with transgenic Arabidopsis thaliana, aligning with the identified keywords.
PRJNA1140405	host_study	field		Vitis vinifera	root	false	true	high	The study primarily focuses on the effects of autotoxins on root metabolism in grapevine seedlings, indicating it is a host study rather than a single-pathogen experiment. The study setting aligns with a field study as samples were collected from natural conditions in China.
PRJNA705878	single	lab	Fusarium oxysporum	Arabidopsis thaliana	whole root	true	true	high	The study focuses on the response of Arabidopsis thaliana to the single pathogen Fusarium oxysporum in controlled lab conditions. The RNA-seq data is derived from a single-pathogen inoculation experiment, aligning with the keyword classifier output.
PRJNA843219	surveillance	field		Peanut	seed coat, cotyledon	false	true	high	The study aims to analyze differences in anthocyanin synthesis and does not declare a specific pathogen, indicating a field survey context. The keyword classification aligns with this observation since it is categorized under 'field.'
PRJNA1336942	surveillance	field		Lupinus angustifolius	leaves	false	true	medium	The study investigates viral populations in legume crops through RNA-seq without explicit pathogen inoculation, suggesting it is more of a surveillance study. The keyword classifier indicates a single treatment, but multiple species co-infections were noted, highlighting a potential discrepancy.
PRJNA1129198	surveillance	field		melon	fruit	false	true	medium	The treatment is classified as surveillance due to the presence of multiple species in the samples collected from two melon cultivars, suggesting a natural field context rather than an intentional single-pathogen study. The study setting is confirmed as field since the samples are collected from melons grown under natural conditions.
PRJNA1458989	surveillance	field		Atractylodes macrocephala	leaf, root	false	true	medium	The study is primarily a field survey assessing root-rot resistance in Atractylodes macrocephala, suggesting surveillance rather than treatment of a single pathogen. While the keyword classifier indicates a single treatment, the presence of multiple BioSamples indicates co-infection detection, which is more aligned with field monitoring.
PRJNA644468	host_study	lab		Citrullus lanatus	fruit flesh	true	true	high	The study focuses on pure host biology regarding carotenoid regulation in watermelon without involvement of pathogens, aligning with the 'host_study' classification. The experiments were conducted in a controlled lab setting, confirmed by the methods detailing greenhouse and field management practices.
PRJNA1142743	host_study	field		Vitis vinifera	fruit	true	true	high	The study focuses on the effects of growth regulators on grape fruit development, indicating a host response without a declared pathogen. The setting is field-based, as indicated by the geo-location and study context.
PRJNA1243566	single	lab	Aspergillus flavus	Arachis hypogaea	seed coat	true	true	high	The study focuses on the resistance of peanut seed coats to a single declared pathogen, Aspergillus flavus, and is conducted in a controlled laboratory setting, as indicated by the experimental methods described.
