taxid	name	kingdom	best_accession	assembly_name	assembly_level	release_date	has_annotation	protein_coding_genes	scaffold_n50_kb	total_length_mb	n_assemblies	fasta_type	notes
28977	Cunninghamia lanceolata	host	GCA_027924645.1	CLA_r1.0	Contig	2022-12-12	False		11744	11548.0	1	genome	no_annotation→skip; GenBank_only(no_RefSeq); contig_level
4265	Cynara cardunculus	host	GCF_001531365.2	CcrdV1.1	Chromosome	2018-04-17	True	26313	126	725.0	4	cds	
4039	Daucus carota	host	GCA_001625215.2	DH1 v3.0	Chromosome	2023-10-20	True	35921	51153	440.7	6	cds	GenBank_only(no_RefSeq)
3570	Dianthus caryophyllus	host	GCA_023091065.1	ASM2309106v1	Chromosome	2022-05-12	False		38555	636.3	2	genome	no_annotation→skip; GenBank_only(no_RefSeq)
4511	Eleusine coracana	host	GCA_021604985.1	Ragi PR202 v. 2.0	Scaffold	2021-12-08	True	57180	23885	1229.4	3	cds	GenBank_only(no_RefSeq)
38414	Eragrostis curvula	host	GCA_007726485.1	CERZOS_EC1.0	Chromosome	2019-08-05	True	55182	43445	603.1	1	cds	GenBank_only(no_RefSeq)
32224	Eriobotrya japonica	host	GCA_043793475.1	ASM4379347v1	Chromosome	2024-10-25	False		42058	727.1	2	genome	no_annotation→skip; GenBank_only(no_RefSeq)
4608	Festuca pratensis	host					False				0		NCBI query failed
3747	Fragaria x ananassa	host	GCA_050043575.1	ASM5004357v1	Chromosome	2025-04-30	True	77630	28769	796.9	15	cds	GenBank_only(no_RefSeq)
38873	Fraxinus excelsior	host	GCA_965226085.2	daFraExce3.hap1.2	Chromosome	2025-10-26	False		33045	759.7	5	genome	no_annotation→skip; GenBank_only(no_RefSeq)
13546	Gerbera	host					False				0		NCBI query failed
3847	Glycine max	host	GCA_044510105.1	GmaxFiskeby v1.0	Chromosome	2024-11-06	True	52783	50786	992.2	43	cds	GenBank_only(no_RefSeq)
3634	Gossypium barbadense	host	GCA_008761655.1	Gossypium_barbadense_v1.1	Chromosome	2019-10-08	True	74561	1770	2195.8	6	cds	GenBank_only(no_RefSeq)
3635	Gossypium hirsutum	host	GCF_007990345.1	Gossypium_hirsutum_v2.1	Chromosome	2021-02-25	True	67584	108141	2305.2	27	cds	
4232	Helianthus annuus	host	GCF_002127325.2	HanXRQr2.0-SUNRISE	Chromosome	2020-07-15	True	57237	176491	3009.6	13	cds	
3981	Hevea brasiliensis	host	GCA_010458925.1	ASM1045892v1	Chromosome	2020-02-12	True	44146	87431	1473.5	9	cds	GenBank_only(no_RefSeq)
4513	Hordeum vulgare	host	GCA_024137805.1	yangtze university Zhang lab wild barley 1.0	Chromosome	2022-07-06	True	60133	668541	5111.0	204	cds	GenBank_only(no_RefSeq)
3486	Humulus lupulus	host	GCF_963169125.1	drHumLupu1.1	Chromosome	2023-08-19	True	35582	251528	2488.1	7	cds	
4120	Ipomoea batatas	host	GCA_059738795.1	IBA_r1.0	Scaffold	2023-12-30	True	175755	23280	2907.4	3	cds	GenBank_only(no_RefSeq)
23012	Kalanchoe	host	GCA_978021985.1	Kalanchoe_gracilipes_v1	Scaffold	2026-02-01	True	30775	21930	389.4	2	cds	GenBank_only(no_RefSeq)
23013	Kalanchoe daigremontiana	host					False				0		NCBI query failed
4236	Lactuca sativa	host	GCF_002870075.5	Lsat_Salinas_v15	Complete Genome	2025-12-23	True	35338	324640	2601.1	7	cds	
3888	Lathyrus oleraceus	host	GCA_024323335.2	CAAS_Psat_ZW6_1.0	Chromosome	2022-07-19	True	47515	523395	3796.1	11	cds	GenBank_only(no_RefSeq)
4472	Lemna minor	host					False				0		NCBI query failed
3864	Lens culinaris	host					False				0		NCBI query failed
4688	Lilium	host	GCA_031763035.1	ASM3176303v1	Scaffold	2023-09-20	False		1	345.5	1	genome	no_annotation→skip; GenBank_only(no_RefSeq)
4006	Linum usitatissimum	host	GCA_054134595.1	EIMB_LUsi_Atlant_2.0	Complete Genome	2025-12-23	False		32256	491.1	15	genome	no_annotation→skip; GenBank_only(no_RefSeq)
215539	Liriodendron x sinoamericanum	host					False				0		NCBI query failed
151069	Litchi chinensis	host	GCA_056776835.1	ASM5677683v1	Chromosome	2026-04-17	False		32508	491.9	8	genome	no_annotation→skip; GenBank_only(no_RefSeq)
4606	Lolium arundinaceum	host	GCA_055755645.1	ASM5575564v1	Chromosome	2026-03-09	False		327882	7104.6	2	genome	no_annotation→skip; GenBank_only(no_RefSeq)
4521	Lolium multiflorum	host	GCA_030979885.1	Rabiosa unphased assembly	Chromosome	2023-08-30	True	72039	338745	2462.1	6	cds	GenBank_only(no_RefSeq)
4522	Lolium perenne	host	GCF_019359855.2	Kyuss_2.0	Chromosome	2024-03-25	True	38554	333279	2264.8	5	cds	
3750	Malus domestica	host	GCF_000148765.1	MalDomGD1.0	Chromosome	2012-08-16	True	47857	1759	526.2	82	cds	OLD_assembly(2012)
106564	Malus prunifolia	host	GCA_047226395.1	ASM4722639v1	Chromosome	2025-01-27	False		36146	699.8	3	genome	no_annotation→skip; GenBank_only(no_RefSeq)
283210	Malus pumila	host					False				0		NCBI query failed
52837	Mandevilla sanderi	host					False				0		NCBI query failed
29780	Mangifera indica	host	GCA_021014955.2	M.indica_Dashehari_mat1.0	Scaffold	2026-06-04	True	35266	18069	355.1	8	cds	GenBank_only(no_RefSeq)
3983	Manihot esculenta	host	GCA_001659605.2	M.esculenta_v8	Chromosome	2021-08-13	True	32805	29151	639.6	24	cds	GenBank_only(no_RefSeq)
3879	Medicago sativa	host	GCF_051527215.1	Bolivia_mono	Complete Genome	2025-07-24	True	39275	101582	775.6	31	cds	
3880	Medicago truncatula	host	GCA_000219495.2	MedtrA17_4.0	Chromosome	2014-06-18	True	50444	49172	412.8	8	cds	OLD_assembly(2014); GenBank_only(no_RefSeq)
3673	Momordica charantia	host	GCF_001995035.1	ASM199503v1	Scaffold	2016-12-26	True	19431	1101	285.6	4	cds	
229046	Morus alba var. alba	host					False				0		NCBI query failed
4641	Musa acuminata	host	GCF_036884655.1	Cavendish_Baxijiao_AAA	Chromosome	2024-02-28	True	91526	44889	1533.7	12	cds	
89151	Musa x paradisiaca	host					False				0		NCBI query failed
63479	Nerium oleander	host					False				0		NCBI query failed
4100	Nicotiana benthamiana	host	GCA_034376525.1	ASM3437652v1	Chromosome	2023-12-18	False		142632	2791.9	2	genome	no_annotation→skip; GenBank_only(no_RefSeq)
4091	Nicotiana otophora	host	GCA_000715115.1	Noto	Scaffold	2014-06-05	False		27	2689.4	1	genome	no_annotation→skip; OLD_assembly(2014); GenBank_only(no_RefSeq)
62141	Nicotiana paniculata	host	GCA_005239505.1	ASM523950v1	Scaffold	2019-05-02	False		53	2190.6	1	genome	no_annotation→skip; GenBank_only(no_RefSeq)
4096	Nicotiana sylvestris	host	GCF_000393655.2	ASM39365v2	Chromosome	2023-11-13	True	45213	188594	2321.6	3	cds	
4097	Nicotiana tabacum	host	GCF_000715075.1	ASM71507v2	Chromosome	2023-11-13	True	60381	166565	3995.6	7	cds	
4146	Olea europaea	host	GCA_902713445.1	OLEA9	Chromosome	2020-11-20	True	55714	734	1315.8	10	cds	GenBank_only(no_RefSeq)
4530	Oryza sativa	host	GCA_001433935.1	IRGSP-1.0	Chromosome	2015-10-10	True	43795	29958	373.8	206	cds	GenBank_only(no_RefSeq)
4054	Panax ginseng	host	GCA_020205605.1	ASM2020560v1	Chromosome	2021-10-04	False		143451	3355.1	1	genome	no_annotation→skip; GenBank_only(no_RefSeq)
44586	Panax notoginseng	host	GCA_016801055.1	ASM1680105v1	Chromosome	2021-02-04	False		216472	2660.7	2	genome	no_annotation→skip; GenBank_only(no_RefSeq)
4031	Pelargonium x hortorum	host	GCA_036897525.1	ASM3689752v1	Contig	2024-02-28	False		2	324.8	1	genome	no_annotation→skip; GenBank_only(no_RefSeq); contig_level
3435	Persea americana	host	GCA_051132755.1	XTBG_Pame_1.0	Complete Genome	2025-06-28	True	40252	78838	841.6	9	cds	GenBank_only(no_RefSeq)
4043	Petroselinum crispum	host	GCA_041430655.1	ASM4143065v1	Contig	2024-08-22	False		35	1568.7	1	genome	no_annotation→skip; GenBank_only(no_RefSeq); contig_level
3885	Phaseolus vulgaris	host	GCF_000499845.2	P. vulgaris v2.0	Chromosome	2024-04-23	True	29679	1886	537.2	17	cds	
3339	Pinus contorta	host					False				0		NCBI query failed
88730	Pinus massoniana	host					False				0		NCBI query failed
71645	Pinus patula	host					False				0		NCBI query failed
3349	Pinus sylvestris	host	GCA_900143225.1	FinPunk_mtDNA_Assembly	Contig	2017-01-02	False		6	1.0	1	genome	no_annotation→skip; GenBank_only(no_RefSeq); contig_level
3350	Pinus thunbergii	host					False				0		NCBI query failed
13216	Piper nigrum	host	GCA_056825445.1	ASM5682544v1	Contig	2026-04-21	False		5	751.3	1	genome	no_annotation→skip; GenBank_only(no_RefSeq); contig_level
261420	Polygonatum kingianum	host					False				0		NCBI query failed
43335	Populus alba	host	GCF_005239225.2	ASM523922v2	Chromosome	2024-12-17	True	30246	22734	416.4	3	cds	
1217306	Populus x beijingensis	host					False				0		NCBI query failed
3690	Populus x canadensis	host	GCA_051991645.1	ASM5199164v1	Chromosome	2025-08-13	True	74605	21297	784.6	1	cds	GenBank_only(no_RefSeq)
122118	Prunus americana	host					False				0		NCBI query failed
36596	Prunus armeniaca	host	GCA_964259005.1	CUR.v1	Chromosome	2024-09-05	True	50324	26862	233.2	12	cds	GenBank_only(no_RefSeq)
42229	Prunus avium	host	GCF_002207925.1	PAV_r1.0	Scaffold	2017-06-12	True	25841	220	272.4	8	cds	
3758	Prunus domestica	host					False				0		NCBI query failed
3755	Prunus dulcis	host	GCA_021292205.2	OSU_Pdul_2.5	Chromosome	2022-07-14	True	45581	30644	257.1	7	cds	GenBank_only(no_RefSeq)
3760	Prunus persica	host	GCA_000346465.2	Prunus_persica_NCBIv2	Chromosome	2017-02-02	True	26873	27368	227.4	13	cds	GenBank_only(no_RefSeq)
323851	Prunus persica var. nucipersica	host					False				0		NCBI query failed
418402	Pseudostellaria heterophylla	host	GCA_977035685.1	Pheterophylla_genome_v1.0	Chromosome	2025-11-12	False		144784	2188.8	1	genome	no_annotation→skip; GenBank_only(no_RefSeq)
22663	Punica granatum	host	GCA_002837095.1	ASM283709v1	Scaffold	2017-12-12	True	50476	215	380.2	13	cds	GenBank_only(no_RefSeq)
23211	Pyrus communis	host	GCF_963583255.1	drPyrComm1.1	Chromosome	2023-11-05	True	34369	27625	487.3	7	cds	
3767	Pyrus pyrifolia	host	GCA_016587475.1	PPY_r1.0	Contig	2020-12-23	False		7677	503.9	1	genome	no_annotation→skip; GenBank_only(no_RefSeq); contig_level
225117	Pyrus x bretschneideri	host	GCF_019419815.1	Pyrus_bretschneideri_v1	Contig	2021-07-30	True	35293	6073	509.1	6	cds	contig_level
3726	Raphanus sativus	host	GCF_000801105.2	ASM80110v3	Chromosome	2023-02-09	True	51440	37282	433.4	17	cds	
49838	Retama sphaerocarpa	host	GCA_056904635.1	ASM5690463v1	Scaffold	2026-04-27	False		13	533.5	1	genome	no_annotation→skip; GenBank_only(no_RefSeq)
3764	Rosa	host	GCA_982397195.1	RW_HapA	Chromosome	2026-04-15	True	53716	67858	484.3	89	cds	GenBank_only(no_RefSeq)
267246	Rosa odorata	host	GCA_054556345.1	A10_1	Chromosome	2026-01-20	False		72059	531.0	8	genome	no_annotation→skip; GenBank_only(no_RefSeq)
4547	Saccharum officinarum	host	GCA_057814815.1	ASM5781481v1	Complete Genome	2026-06-01	False		84795	875.7	2	genome	no_annotation→skip; GenBank_only(no_RefSeq)
4550	Secale cereale	host	GCA_965641915.1	lpSecCere.Lo7.IPK.v3	Chromosome	2025-07-19	False		943692	6702.6	6	genome	no_annotation→skip; GenBank_only(no_RefSeq)
336126	Selenicereus trigonus	host					False				0		NCBI query failed
4555	Setaria italica	host	GCA_000263155.2	Setaria_italica_v2.0	Chromosome	2015-10-30	True	34584	47253	405.7	11	cds	GenBank_only(no_RefSeq)
315333	Solanum albicans	host					False				0		NCBI query failed
4108	Solanum chacoense	host	GCA_052575675.1	ASM5257567v1	Contig	2025-09-12	False		35577	734.9	2	genome	no_annotation→skip; GenBank_only(no_RefSeq); contig_level
856898	Solanum huancabambense	host					False				0		NCBI query failed
4081	Solanum lycopersicum	host	GCF_036512215.1	SLM_r2.1	Chromosome	2024-09-03	True	28611	69564	832.8	44	cds	
4111	Solanum melongena	host	GCA_059480125.1	ASM5948012v1	Chromosome	2026-07-16	False		96750	1158.1	39	genome	no_annotation→skip; GenBank_only(no_RefSeq)
73574	Solanum microdontum	host	GCA_054051385.1	UGA_Smicro_v1	Chromosome	2025-12-17	False		57972	771.7	2	genome	no_annotation→skip; GenBank_only(no_RefSeq)
4082	Solanum peruvianum	host	GCA_057925505.1	ASM5792550v1	Chromosome	2026-06-04	False		74579	912.1	3	genome	no_annotation→skip; GenBank_only(no_RefSeq)
4084	Solanum pimpinellifolium	host	GCA_058224835.1	ASM5822483v1	Chromosome	2026-06-16	True	43958	67687	807.4	15	cds	GenBank_only(no_RefSeq)
119830	Solanum torvum	host					False				0		NCBI query failed
4113	Solanum tuberosum	host	GCA_020169535.1	solTubStieglitzHap2	Chromosome	2021-09-28	True	38661	62488	754.2	98	cds	GenBank_only(no_RefSeq)
4558	Sorghum bicolor	host	GCA_015952705.1	SbicolorRio_v2	Chromosome	2020-12-28	True	35490	397	729.4	28	cds	GenBank_only(no_RefSeq)
35627	Stylosanthes	host	GCA_036250425.1	Ssca1	Scaffold	2024-01-29	True	117394	33	990.3	2	cds	GenBank_only(no_RefSeq)
13708	Tagetes erecta	host	GCA_030867185.1	ASM3086718v1	Chromosome	2023-08-24	True	35877	69674	778.9	2	cds	GenBank_only(no_RefSeq)
3641	Theobroma cacao	host	GCA_035896635.1	ASM3589663v1	Chromosome	2024-01-19	True	27910	40512	380.7	17	cds	GenBank_only(no_RefSeq)
57577	Trifolium pratense	host	GCA_000583005.2	Tp1.0	Contig	2016-02-24	True	63850	2	305.0	10	cds	GenBank_only(no_RefSeq); contig_level
4564	Triticum	host	GCA_040256815.2	ASM4025681v2	Complete Genome	2024-08-07	True	141031	723778	14509.2	117	cds	GenBank_only(no_RefSeq)
4565	Triticum aestivum	host	GCA_040256815.2	ASM4025681v2	Complete Genome	2024-08-07	True	141031	723778	14509.2	76	cds	GenBank_only(no_RefSeq)
4566	Triticum aestivum x Triticum timopheevi	host					False				0		NCBI query failed
4571	Triticum turgidum	host	GCA_900231445.1	Svevo.v1	Chromosome	2019-02-13	True	63862	722971	9964.3	14	cds	GenBank_only(no_RefSeq)
3906	Vicia faba	host	GCA_048183575.1	ASM4818357v1	Chromosome	2025-02-28	True	37398	1574411	11807.2	4	cds	GenBank_only(no_RefSeq)
3917	Vigna unguiculata	host	GCA_003958685.2	ASM395868v2	Chromosome	2019-04-30	True	40574	53938	597.5	10	cds	GenBank_only(no_RefSeq)
3603	Vitis	host	GCA_004011995.1	AWRI_Vv-CHD_1.0	Contig	2019-01-10	True	112320	936	489.9	319	cds	GenBank_only(no_RefSeq); contig_level
96939	Vitis riparia	host	GCF_004353265.1	EGFV_Vit.rip_1.0	Chromosome	2019-04-16	True	26189	23919	500.1	8	cds	
29760	Vitis vinifera	host	GCA_004011995.1	AWRI_Vv-CHD_1.0	Contig	2019-01-10	True	112320	936	489.9	91	cds	GenBank_only(no_RefSeq); contig_level
2599121	Vitis x labruscana	host					False				0		NCBI query failed
69721	Zantedeschia aethiopica	host					False				0		NCBI query failed
94108	Zantedeschia elliottiana	host					False				0		NCBI query failed
4577	Zea mays	host	GCA_049266015.1	ASM4926601v1	Chromosome	2025-04-03	True	42607	229239	2378.5	191	cds	GenBank_only(no_RefSeq)
4579	Zea mays subsp. mexicana	host	GCA_002813485.1	ASM281348v1	Scaffold	2017-12-06	False		108	1204.3	1	genome	no_annotation→skip; GenBank_only(no_RefSeq)
58934	Zizania latifolia	host	GCA_048537475.1	ASM4853747v1	Chromosome	2025-03-10	True	36280	34138	595.8	5	cds	GenBank_only(no_RefSeq)
326968	Ziziphus jujuba	host	GCF_000826755.1	ZizJuj_1.1	Chromosome	2015-02-06	True	30007	301	437.8	17	cds	
4779	Bremia lactucae	oomycete	GCF_004359215.1	BlacSF5v2	Chromosome	2021-08-20	True	9766	5324	115.9	2	cds	
272952	Hyaloperonospora arabidopsidis	oomycete	GCA_000173235.2	HyaAraEmoy2_2.0	Scaffold	2012-01-25	False		332	78.4	3	genome	no_annotation→skip; OLD_assembly(2012); GenBank_only(no_RefSeq)
230439	Peronospora tabacina	oomycete	GCA_002099245.1	Ptab_968-S26	Scaffold	2017-04-18	False		79	63.1	1	genome	no_annotation→skip; GenBank_only(no_RefSeq)
29920	Phytophthora cactorum	oomycete	GCA_017309695.1	ASM1730969v1	Scaffold	2021-03-09	True	34966	37	75.5	29	cds	GenBank_only(no_RefSeq)
4784	Phytophthora capsici	oomycete	GCA_016618375.1	Pcap_4.1	Scaffold	2021-01-12	True	23373	486	94.2	19	cds	GenBank_only(no_RefSeq)
4787	Phytophthora infestans	oomycete	GCA_012552325.1	ASM1255232v1	Scaffold	2020-04-20	True	23771	155	230.9	8	cds	GenBank_only(no_RefSeq)
100870	Phytophthora litchii	oomycete	GCA_002812785.1	ASM281278v1	Scaffold	2017-12-06	False		35	38.2	1	genome	no_annotation→skip; GenBank_only(no_RefSeq)
4792	Phytophthora nicotianae	oomycete	GCF_000247585.1	PP_INRA-310_V2	Scaffold	2013-12-19	True	23121	888	82.4	14	cds	OLD_assembly(2013)
67593	Phytophthora sojae	oomycete	GCF_000149755.1	P.sojae V3.0	Scaffold	2011-10-03	True	26489	7609	82.6	12	cds	OLD_assembly(2011)
143451	Plasmopara viticola	oomycete	GCA_055472655.1	ASM5547265v1	Scaffold	2026-02-24	False		964	84.1	4	genome	no_annotation→skip; GenBank_only(no_RefSeq)
65070	Pythium aphanidermatum	oomycete	GCA_027475745.1	ASM2747574v1	Scaffold	2022-12-28	False		3	56.0	4	genome	no_annotation→skip; GenBank_only(no_RefSeq)
