BioProject	modes	n_runs	study_design	title	primary_pmid	primary_pub_date	primary_publication	n_papers_found	primaries	secondaries
PRJNA1173477	mal	3	unclear	Colletotrichum gloeosporioides Transcriptome				0	Colletotrichum gloeosporioides	Colletotrichum fructicola (0.4%); Colletotrichum siamense (0.3%); Colletotrichum siamense (0.6%); Colletotrichum siamense (1.1%)
PRJNA383548	mal	3	unclear	Phytophthora cactorum strain:P414 Genome sequencing and assembly	34276614	2021-07-02	[34276614] Comparative Analysis of Host-Associated Variation in	2	Phytophthora cactorum	Phytophthora infestans (2.0%); Phytophthora infestans (2.5%); Phytophthora parasitica (1.4%); Phytophthora parasitica (1.8%)
PRJNA542165	mal	3	unclear	Fungal phytopathogens Fusarium graminearum species complex	31609418	2019-11-01	[31609418] Complex Evolutionary Origins of Specialized Metabolite Gene Cluster Diversity among the Plant Pathogenic Fungi of the Fusarium graminearum Species Complex.	2	Fusarium asiaticum	Fusarium graminearum (10.0%); Fusarium graminearum (4.9%); Fusarium graminearum (6.5%); Fusarium pseudograminearum (0.4%); Fusarium pseudograminearum (0.6%)
PRJNA936198	mal	3	unclear	Begomovirus infecting cucurbits in the Baja California Peninsula				0	Cucurbit leaf crumple virus; Squash leaf curl virus	Cucurbit leaf crumple virus (0.3%); Squash leaf curl virus (52.7%); Squash leaf curl virus (56.7%); Tomato chino La Paz virus (3.1%)
PRJNA540383	mal	3	unclear	Fusarium pseudograminearum Raw sequence reads				0	Fusarium pseudograminearum	Alternaria alternata (0.1%); Alternaria alternata (0.5%); Fusarium verticillioides 7600 (0.4%)
PRJNA1107791	mal	3	unclear	Deciphering pathogenicity and development in obligate downy mildew pathogen using small RNA approach				0	Hyaloperonospora arabidopsidis	Phytophthora sojae (0.2%)
PRJDB39595	mal	3	unclear	Transcriptome sequencing of PH-1 and mutant deltaFgDUG3 of Fusarium gramineum (PRJCA046855)				0	Fusarium graminearum	Fusarium pseudograminearum (0.3%); Fusarium pseudograminearum (0.7%)
PRJEB68334	mal	3	field_survey	Azole resistance in Blumeria	39305021	2024-09-01	[39305021] Multiple routes to fungicide resistance: Interaction of Cyp51 gene sequences, copy number and expression.	1	Blumeria graminis f. sp. tritici	Fusarium proliferatum (1.6%); Penicillium expansum (0.4%); Xanthomonas oryzae (0.2%)
PRJNA905255	mal	3	unclear	transcriptome of Fusarium pseudograminearum infecting wheat				0	Fusarium pseudograminearum	Fusarium graminearum (0.3%); Fusarium graminearum (0.4%); Fusarium graminearum (0.5%)
PRJNA293594	mal	3	unclear	Whole-transcriptome RNA-seq analysis of different developmental stages of Fusarium graminearum				0	Fusarium graminearum	Fusarium pseudograminearum (0.7%); Fusarium pseudograminearum (0.8%); Fusarium pseudograminearum (1.2%)
PRJEB36485	mal	3	unclear	Pathogenomic analyses reveals a potential recent shift in the South African Puccinia striiformis f. sp. tritici population				0	Puccinia striiformis f. sp. tritici	Alternaria alternata (0.6%); Alternaria alternata (0.9%); Puccinia graminis (0.5%)
PRJNA1405621	mal	3	unclear	Xanthomonas perforans strain:AL65 Raw sequence reads				0	Xanthomonas perforans	Xanthomonas oryzae (0.1%); Xanthomonas oryzae pv. oryzicola (0.1%); Xanthomonas oryzae pv. oryzicola (0.2%)
PRJNA435897	mal	3	unclear	Transcriptome analysis of Fusarium oxysporum f. sp. cucumerinum				0	Fusarium oxysporum	Fusarium verticillioides 7600 (0.2%); Fusarium verticillioides 7600 (0.4%)
PRJNA777477	mal	2	unclear	Banana plant infected with viruses Genome sequencing and assembly	37833740	2023-10-13	[37833740] Cont-ID: detection of sample cross-contamination in viral metagenomic data.	1	Banana mild mosaic virus	Banana bract mosaic virus (0.1%); Cucumber mosaic virus (15.0%); Cucumber mosaic virus (17.9%)
PRJEB20582	mal	2	field_survey	RNA-Seq reads from wheat blast field samples from Bangladesh collected in March, 2017				0	Pyricularia oryzae	Bipolaris sorokiniana (0.5%); Bipolaris sorokiniana (0.6%)
PRJNA716464	mal	2	unclear	RNA-seq				0	Alternaria panax	Alternaria alternata (2.5%); Bipolaris sorokiniana (0.1%)
PRJNA253086	mal	2	unclear	Dual RNA-Seq during apple-Penicillium expansum interaction	20569404	2003-11-01	[20569404] Isolation and characterization of genes differentially expressed during the interaction between apple fruit and Penicillium expansum.	1	Penicillium expansum	Penicillium digitatum (0.1%); Penicillium digitatum (0.2%)
PRJNA168272	mal	2	unclear	Phytophthora parasitica INRA-310 Transcriptome Sequencing				0	Phytophthora nicotianae INRA-310	Phytophthora infestans (0.2%)
PRJNA558612	mal	2	unclear	Plasmopara viticola Genome sequencing				0	Plasmopara viticola	Alternaria alternata (3.7%); Alternaria alternata (4.5%)
PRJNA448328	mal	2	field_survey	Transcriptomic comparison of Botrytis cinerea wild type and VELVET mutants	29790574	2018-05-23	[29790574] Investigations on VELVET regulatory mutants confirm the role of host tissue acidification and secretion of proteins in the pathogenesis of Botrytis cinerea.	1	Botrytis cinerea	Sclerotinia sclerotiorum (0.1%)
PRJNA1315207	mal	2	field_survey	Bacterial entrapment of a fungal carbon repressor prevents plant colonization				0	Fusarium graminearum	Fusarium pseudograminearum (0.3%)
PRJNA773642	mal	2	field_survey	Plant virus metagenomic data 2021	35956429	2022-07-27	[35956429] Enhanced Apiaceous Potyvirus Phylogeny, Novel Viruses, and New Country and Host Records from Sequencing	1	Celery mosaic virus	Carrot virus Y (13.6%); Carrot virus Y (13.7%)
PRJNA1089140	mal	2	unclear	Historic Tymoviruses				0	Kennedya yellow mosaic virus; Turnip yellow mosaic virus	Brassica rapa virus 1 (0.1%); Pea seed-borne mosaic virus (2.0%)
PRJNA588304	mal	1	unclear	RNA-Seq of BYMV	31919183	2020-01-09	[31919183] Genome Sequence and Phylogeny of a	1	Bean yellow mosaic virus	Stemphylium lycopersici (0.6%); Turnip yellows virus (0.1%)
PRJNA853137	mal	1	unclear	Alternaria alternata Raw sequence reads				0	Alternaria alternata	Cercospora beticola (9.8%); Cercospora kikuchii (4.7%)
PRJNA531386	mal	1	unclear	Fusarium oxysporum f. sp. cubense Transcriptome or Gene expression				0	Fusarium odoratissimum	Fusarium fujikuroi (1.4%); Fusarium oxysporum (58.9%)
PRJNA1054045	mal	1	unclear	Plant metagenomics tomato viruses, Next Strain				0	Tomato brown rugose fruit virus	Rehmannia mosaic virus (0.1%); Tobacco mosaic virus (0.7%)
PRJNA1250817	mal	1	field_survey	Rapid tracking of new Puccinia striiformis f. sp. tritici pathotypes using field pathogenomics				0	Puccinia striiformis f. sp. tritici	environmental samples (0.5%)
PRJNA854212	mal	1	unclear	Candidatus Liberibacter asiaticus Genome sequencing	37071011	2023-04-18	"[37071011] Pathogenicity and Transcriptomic Analyses of Two """	2	Candidatus Liberibacter asiaticus	Cucumber mosaic virus (10.6%)
PRJNA1267768	mal	1	field_survey	Sequencing of wheat stem rust genomes	41688466	2026-02-13	[41688466] Allelic variation of Avr genes in highly virulent strains explains severe wheat stem rust epidemics.	1	Puccinia graminis f. sp. tritici	environmental samples (4.9%)
PRJNA808992	mal	1	unclear	RNA-Seq of Colletotrichum gloeosporioides during the infection of the model moss Physcomitrium patens				0	Colletotrichum gloeosporioides	Colletotrichum siamense (0.2%)
PRJNA560644	mal	1	unclear	Transcriptome sequencing and mapping of in vitro and in planta samples of Exserohilum turcicum	32265851	2020-03-20	[32265851] Time-Course RNAseq Reveals	1	Exserohilum turcicum	Fusarium verticillioides 7600 (1.0%)
PRJNA545454	mal	1	field_survey	Transcriptome sequencing of Puccinia striiformis f.sp. tritici collected from the susceptible and the resistant cultivars	33275764	2020-12-23	[33275764] In-depth secretome analysis of Puccinia striiformis f. sp. tritici in infected wheat uncovers effector functions.	1	Puccinia striiformis f. sp. tritici	Puccinia graminis f. sp. tritici CRL 75-36-700-3 (0.2%)
PRJNA422914	mal	1	unclear	Puccinia striiformis formae speciales Genome sequencing and assembly	30208837	2018-09-12	[30208837] Genomic insights into host adaptation between the wheat stripe rust pathogen (Puccinia striiformis f. sp. tritici) and the barley stripe rust pathogen (Puccinia striiformis f. sp. hordei).	2	Puccinia striiformis	Puccinia graminis (1.2%)
PRJNA950118	mal	1	field_survey	Sequencing of Canadian Puccinia striiformis isolates	37880702	2023-10-25	[37880702] Uncovering the history of recombination and population structure in western Canadian stripe rust populations through mating type alleles.	1	Puccinia striiformis	Pyrenophora tritici-repentis (4.7%)
PRJNA956871	mal	1	unclear	Single nematode transcriptomic analysis, using long-read technology, reveals two novel virulence gene candidates in the soybean cyst nematode, Heterodera glycines.	37298400	2023-05-29	[37298400] Single Nematode Transcriptomic Analysis, Using Long-Read Technology, Reveals Two Novel Virulence Gene Candidates in the Soybean Cyst Nematode,	1	Heterodera glycines	Pseudomonas aeruginosa (0.1%)
PRJEB39756	mal	1	field_survey	New Zealand Pst isolates	33786966	2021-05-03	[33786966] High frequency of fungicide resistance-associated mutations in the wheat yellow rust pathogen Puccinia striiformis f. sp. tritici.	1	Puccinia striiformis f. sp. tritici	Listeria monocytogenes (0.2%)
PRJNA171217	mal	1	unclear	Colletotrichum orbiculare MAFF 240422 strain:104-T Genome sequencing and assembly	27496087	2016-08-05	[27496087] Gene family expansions and contractions are associated with host range in plant pathogens of the genus Colletotrichum.	4	Colletotrichum orbiculare MAFF 240422	Colletotrichum fructicola (0.1%)
PRJNA1196143	mal	1	unclear	RNA-seq of two Fusarium oxysporum				0	Fusarium oxysporum	Fusarium odoratissimum (2.8%)
PRJNA392275	mal	1	unclear	Pyrenophora teres f. teres Genome sequencing, assembly, and annotation	29167271	2018-01-04	[29167271] Reference Assembly and Annotation of the	2	Pyrenophora teres f. teres	Parastagonospora nodorum (0.5%)
PRJNA1017476	mal	1	unclear	Effect of Mac1 deletion on copper homoestasis and virulence in Fusarium oxysporum f. sp. lycopersici [RNA-seq]	39495784	2024-11-04	[39495784] Copper acquisition is essential for plant colonization and virulence in a root-infecting vascular wilt fungus.	2	Fusarium oxysporum f. sp. lycopersici 4287	Fusarium odoratissimum (0.2%)
PRJNA1110392	mal	1	unclear	Transcriptome analysis of Colletotrichum fructicola				0	Colletotrichum fructicola	Alternaria alternata (0.1%)
PRJNA1021048	mal	1	unclear	Infection characteristics of pathogen of potato early blight and virulence genes revealed by multi-omics method	38529180	2024-03-11	[38529180] Multi-omics approaches to understand pathogenicity during potato early blight disease caused by	1	Alternaria alternata	Botrytis cinerea (3.4%)
PRJNA338256	mal	1	unclear	Fusarium spp. isolated from onion bulbs - F. oxysporum, F. oxysporum f. sp. cepae and F. profileratum.	30202022	2018-09-10	[30202022] Characterisation of pathogen-specific regions and novel effector candidates in Fusarium oxysporum f. sp. cepae.	3	Fusarium oxysporum f. sp. cepae	Fusarium odoratissimum (0.1%)
PRJNA883377	mal	1	field_survey	Bivalent histone modification of BCG1 enables fungal pathogen to evade host immunity (RNA-Seq)	40151047	2025-04-01	[40151047] Transcription Activator FgDDT Interacts With FgISW1 to Regulate Fungal Development and Pathogenicity in the Global Pathogen Fusarium graminearum.	1	Fusarium graminearum PH-1	Fusarium pseudograminearum (0.3%)
PRJNA1272045	mal	1	field_survey	Ralstonia pseudosolanacearum LOV domain protein regulates environmental stress tolerance, iron homeostasis and bacterial wilt virulence	41358747	2025-12-08	[41358747] RprR is a plant-responsive regulator of exopolysaccharide production, biofilm formation, and virulence in	1	Ralstonia pseudosolanacearum	Pseudomonas fluorescens (0.3%)
PRJNA283526	mal	1	unclear	RNA-Seq analyse the virulence mechanism of rice pathogen Acidovorax avenae subsp. avenae strain RS-1 following ß-lactam antibiotics exposure	26915352	2016-02-26	[26915352] New insights into virulence mechanisms of rice pathogen Acidovorax avenae subsp. avenae strain RS-1 following exposure to ß-lactam antibiotics.	1	Paracidovorax avenae	Magnaporthe oryzae (6.5%)
PRJNA350867	mal	1	field_survey	Xanthomonas oryzae pv. oryzicola BLS256 Transcriptome	31581193	2019-10-03	[31581193] Transcriptome analysis of Xanthomonas oryzae pv. oryzicola exposed to H2O2 reveals horizontal gene transfer contributes to its oxidative stress response.	3	Xanthomonas oryzae pv. oryzicola BLS256	Xanthomonas oryzae (51.7%)
PRJNA932159	mal	1	unclear	Phytophthora capsici isolate:RGCB0451 Raw sequence reads	39624727	2024-11-18	[39624727] Transcriptomic analysis reveals pathogenicity mechanisms of	1	Phytophthora capsici	Phytophthora infestans (1.0%)
PRJEB61893	mal	1	unclear	RNA-Seq of Pseudomonas fluorescens SBW25 isolated from axenic rhizospheres of the barley varieties Chevallier and Tipple one and five days post-inoculation.				0	Pseudomonas [fluorescens] SBW25	Pseudomonas tolaasii (0.3%)
PRJNA1162778	mal	1	unclear	RNA-seq and ChIP-seq in Aegilops-infecting Zymoseptoria tritici and Zymoseptoria ardabiliae	41733348	2026-02-24	[41733348] Interspecies hybridization as a route of accessory chromosome origin in fungal pathogens.	1	Zymoseptoria tritici	environmental samples (0.2%)
PRJNA487807	mal	1	unclear	The transcriptome of Penicillium expansum and apple interaction during early infection	31661784	2019-10-28	[31661784] Comparative Transcriptomic Analysis of the Interaction between	1	Penicillium expansum	Penicillium digitatum (0.2%)
PRJNA670487	mal	1	field_survey	Global transcriptome of the fungal pathogen Sclerotinia sclerotiorum (strain 1980) during the colonization of six plant species - Global transcriptome of S. sclerotiorum and S. trifoliorum during growth on camalexin	34282282	2021-07-19	[34282282] Transcriptional response to host chemical cues underpins the expansion of host range in a fungal plant pathogen lineage.	1	Sclerotinia sclerotiorum 1980 UF-70	Botrytis cinerea (0.1%)
PRJEB13072	mal	1	unclear	Transcriptome-based comparison of the infection response in maize silks between Fusarium graminearum and Ustilago maydis				0	Fusarium graminearum	Ustilago maydis (6.3%)
PRJEB85268	mal	1	unclear	The raw sequencing data of three Fusarium oxysporum	40853988	2025-08-25	[40853988] Gap-free comparative genomics uncover virulence factors for Fusarium wilt of watermelons.	1	Fusarium oxysporum	Fusarium odoratissimum (0.1%)
PRJNA1157721	mal	1	unclear	Transcriptome sequencing of alternative oxidase in Fusarium graminearum				0	Fusarium graminearum	Fusarium pseudograminearum (0.5%)
PRJNA1491631	mal	1	unclear	Transcriptome profiling of Fusarium oxysporum f. sp. albedinis strain FoaER20 during date palm infection				0	Fusarium oxysporum f. sp. albedinis	Fusarium verticillioides (1.2%)
PRJNA748207	mal	1	unclear	RNA-Seq of Ralstonia solanacearum supplemented with hydroxycoumarins treatments				0	Ralstonia pseudosolanacearum	Ralstonia solanacearum (5.1%)
PRJNA1202856	mal	1	unclear	Fusarium graminearum Raw sequence reads				0	Fusarium graminearum	Fusarium pseudograminearum (0.2%)
PRJNA36323	mal	1	unclear	WGS sequencing	27913634	2017-02-09	[27913634] Comparative Analysis Highlights Variable Genome Content of Wheat Rusts and Divergence of the Mating Loci.	4	Puccinia triticina	Puccinia graminis (0.4%)
PRJNA397359	mal	1	unclear	RNA-Seq of Fusarium proliferatum	29271931	2017-12-22	[29271931] Transcriptome Analysis of Tomato Leaf Spot Pathogen Fusarium proliferatum: De novo Assembly, Expression Profiling, and Identification of Candidate Effectors.	1	Fusarium proliferatum	Fusarium oxysporum (0.1%)
PRJNA398030	mal	1	field_survey	RNA-seq reveals quorum sensing-dependent activation of genes involved in ecological fitness during Pcb1692 potato-host infection				0	Pectobacterium brasiliense PBR1692	Pectobacterium carotovorum (53.7%)
PRJNA1158807	mal	1	unclear	Sequence libraries containing different strains of Orchid fleck Dichorhavirus in citrus, orchids and ornamental plants. Raw sequence reads	40143368	2025-03-19	[40143368] Detection and In Vivo Validation of	1	Dichorhavirus orchidaceae	Citrus tristeza virus (9.6%)
PRJNA791897	mal	1	unclear	Systematic comparison of nanopore sequencing and Illumina sequencing for the detection of plant viruses and viroids using total RNA sequencing approach				0	Tomato yellow leaf curl virus	Columnea latent viroid (0.8%)
PRJNA807078	mal	1	unclear	Tomato Viruses				0	Tomato yellow mottle-associated virus	Cucumber mosaic virus (52.3%)
PRJNA961054	mal	1	unclear	Genetic diversity of tomato brown rugose fruit virus	37594282	2023-08-18	[37594282] Coding-complete genome sequence of an isolate of papaya virus E in tomato.	1	papaya virus E	Tomato brown rugose fruit virus (64.5%)
PRJNA606340	mal	1	field_survey	Carrot virus Y Genome sequencing and assembly	32273353	2020-04-09	[32273353] Genome Characterization of Two	1	Carrot virus Y	Pseudomonas fluorescens NZ011 (0.1%)
PRJNA895362	mal	1	coinf_experiment	Citrus leprosis virus C2 Genome sequencing	36762187	2023-01-24	[36762187] High-throughput sequencing application in the detection and discovery of viruses associated with the regulated citrus leprosis disease complex.	1	Citrus leprosis virus C2	Colletotrichum fructicola (0.1%)
PRJNA1429803	mal	1	unclear	PLant viral metagenomes 2026				0	Potato leafroll virus	Tobamovirus brugmansiae (47.7%)
PRJNA811762	mal	1	unclear	BNYVV population sequencing				0	Beet necrotic yellow vein virus	Beet soil-borne virus (2.3%)
